gstin,invoice_no,invoice_date,taxable_value,igst,cgst,sgst,irn,irn_generated_at,gstr1_filing_period,supplier_gstr3b_filed,itc_availability
27QTRXD4807J1ZI,INV/26-27/7006,2027-01-26,1461.84,263.14,0.00,0.00,2fa16b1746421440cc488ba4cb331da084a08f3a40a4b21246e9422a19c5baa2,,,Y,Yes
06QDJXW8333D1ZG,INV/26-27/7023,2027-01-31,16904.81,3042.87,0.00,0.00,05c12c2fbb76ee6dc75c2c906f67e2914086101a5c14f80bebc03ef3496dca96,,,Y,Yes
29TUUXX3796J1Z8,INV/26-27/7011,2027-03-10,17465.03,0.00,1571.86,1571.86,bd5156fa126b48084cd213039626172578df150cc3619de45c45219c1f0a550a,,,Y,Yes
06PMGXY0918M1ZP,INV/26-27/7012,2027-03-09,25397.91,4571.63,0.00,0.00,7641ac8601217eb8d940a41fa5f0b290023164bfc6229cadc60a3a3f189dd716,,,N,Yes
07WAVXT0518P1ZT,INV/26-27/7021,2027-01-24,11991.45,2158.47,0.00,0.00,b0c275ceac827d96539a1f2a61fb9ed5808806b14eaf141334f802ff84641f71,,,Y,Yes
27EBZXX1886G1Z1,INV/26-27/7017,2027-01-05,11127.39,2002.94,0.00,0.00,,,,Y,No
24SEHXW6027E1ZJ,INV/26-27/7015,2027-02-01,18911.34,3404.05,0.00,0.00,cc62b5f8613a99589a8ff150f9fe4ffd5b07f127f2bc9be8da480b06a5a4697f,,,Y,Yes
07TEKXR7878D1ZX,INV/26-27/7020,2027-02-06,5435.86,978.46,0.00,0.00,a2721b4ff99240a7cdd86e0a980571a432702280084a5e6e20382a1453600cd9,,,Y,Yes
06GYNXN0098P1Z1,INV/26-27/7018,2027-02-14,6266.77,1128.02,0.00,0.00,,,,N,No
33GBDXN1633V1ZM,INV/26-27/7005,2027-02-17,2800.74,504.14,0.00,0.00,7e3212d013bb11fcc096725097f167f379b58aa895e6ee5b5165ff3c3b2811d7,,,Y,Yes
24SAPXM5253U1ZU,INV/26-27/7004,2027-03-07,24861.30,4475.04,0.00,0.00,,,,Y,No
33LVPXO9495C1ZA,INV/26-27/7014,2027-02-15,16185.94,2913.47,0.00,0.00,74f34b864629b98cfa1135610e3dbe7eac461739b2886caf42dbd530c192229b,,,Y,Yes
24KEXXN6761P1ZO,INV/26-27/7013,2027-01-15,1819.39,327.50,0.00,0.00,5482e938e1a7e0485543af5ced81847d49be4fbf99556dcd92c86149ea3197c3,,,Y,Yes
29MTBXT7741M1Z5,INV/26-27/7000,2027-01-01,4510.46,0.00,405.95,405.95,cb8c6500e079d31372bcc980ef3677f78ffc106d33ae93388b15a5f5481122bd,2027-01-01T09:15:00,2027-01,N,Yes
06GSJXF6321E1ZI,INV/26-27/7008,2027-01-22,23315.06,4196.72,0.00,0.00,47b8511fd0991db1c6fc4e4d3db0109d357c23714b376573168caeb8340e1c36,,,Y,Yes
24BECXB1003S1ZF,INV/26-27/7003,2027-02-02,28261.21,5087.02,0.00,0.00,efd4366c7d52f25290e9b19fee40972546c2d34effd44525af53d3103e083b75,,,Y,Yes
27XIDXM4375X1Z3,INV/26-27/7007,2027-04-01,14530.40,2615.48,0.00,0.00,60852267945ac66b61bf801e5ae05626dbcf955c9c609b0805bfcd1b48b5f8a5,,,Y,Yes
07ONIXI7971D1Z0,INV/26-27/7019,2027-03-24,14864.90,2675.69,0.00,0.00,bfb9cf4c9a618f4d932e8bc34f87d109c618a8981f61fa630fb28b21ca0ae1a1,,,N,Yes
29MTBXT7741M1Z5,INV/26-27/7002,2027-03-01,15068.45,0.00,1356.17,1356.17,,2027-03-01T09:15:00,2027-03,Y,No
29JWIXZ9408D1Z8,INV/26-27/7016,2027-03-11,5626.79,0.00,506.42,506.42,619698aa79a3f79e46ad96ef905c76ff9594399cf20069018aeb9d3d0707619b,,,Y,Yes
06VORXR1052S1Z4,INV/26-27/7022,2027-03-12,7552.85,1359.52,0.00,0.00,7079eeb4be777f1c29ca291ce2da5c06e15983395152437cb6ed86fae18d6b6c,,,Y,Yes
07WJCXL6293V1Z5,INV/26-27/7010,2027-02-13,17175.45,3091.59,0.00,0.00,8b9e9db52b5cf731a4d43902aa9f22732ad721a0371b7582ca24877bcfc5dc5c,,,Y,Yes
06GUWXC7422V1Z1,INV/26-27/7009,2027-02-04,25849.21,4652.86,0.00,0.00,9008404e9857446b6df2f45b8aece16d09ab9670225006c047ffce439f7c3229,,,Y,Yes
