bank_reference,value_date,narration,amount
RATN27007793254,2027-01-07,IMPS/RATN27007793254/RAZORPAY SOFTWARE PRIVATE LIMITED,47010.72
RATN27012793282,2027-01-12,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE,26196.34
RATN27013793322,2027-01-13,RTGS-CR-RATN27013793322-RAZORPAY SOFTWARE PVT LTD,189643.93
RATN27018793339,2027-01-18,CHG:NEFT OUTWARD RATN27018793339,-7419.94
RATN27022793379,2027-01-22,IMPS/RATN27022793379/RAZORPAYSOFTWAREP,206860.72
RATN27025793416,2027-01-25,NEFT RET RATN27025793416 - ACCOUNT CLOSED,-2377.95
RATN27028793455,2027-01-28,NEFT CR RATN27028793455 RAZORPAYSOFTWAREP,341389.06
RATN27035793465,2027-02-04,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,316641.85
RATN27043793482,2027-02-12,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,329693.09
,2027-02-15,RTGS-CR-RATN********-NIMBUS LOGISTICS LLP,17116.07
RATN27046793523,2027-02-15,NEFT-DR-RATN0000088-SIXFOLD TRADING-RATN27046793523,-329693.09
RATN27048793553,2027-02-17,RTGS-CR-RATN27048793553-CLOVERLEAF FOODS PVT LTD,8852.34
RATN27048793566,2027-02-17,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27048793566,100945.08
RATN27060793590,2027-03-01,NEFT-CR-RATN0000088-CLG,359512.52
RATN27063793596,2027-03-04,NEFT CR RATN27063793596 RAZORPAY SOFTWARE PVT LTD,182873.16
RATN27069793618,2027-03-10,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,237001.63
RATN27077793625,2027-03-18,IMPS/RATN27077793625/RAZORPAY SOFTWARE PVT LTD,110501.85
RATN27078793629,2027-03-19,IMPS/RATN27078793629/SIXFOLD TRADING,23470.63
RATN27083793651,2027-03-24,NEFT RET RATN27083793651 - ACCOUNT CLOSED,-3878.16
RATN27084793681,2027-03-25,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,275192.60
