order_id,invoice_no,gstin,amount,invoice_date
order_JSYc3nCNXtTl7D,INV/26-27/1001,,25500.00,2027-01-04
order_d26YWydFOTTDSn,INV/26-27/1002,,1348.00,2027-01-04
order_fGDC635pO3X5fZ,INV/26-27/1003,,11850.00,2027-01-04
order_hNZwypzg6yPpVN,INV/26-27/1004,07HHUXW1883D1Z3,6549.00,2027-01-04
order_f5wjSFA5OQ1iPS,INV/26-27/1005,29BKSXM6661P1ZH,12399.00,2027-01-05
order_tQxRjP2zGPoL1S,INV/26-27/1006,,4100.00,2027-01-05
order_uLXjg9GZm5dULA,INV/26-27/1007,,4999.00,2027-01-05
order_zyiPZeu5xIj8PG,INV/26-27/1008,,4800.00,2027-01-05
order_S7Xv0gf9V0YBGR,INV/26-27/1009,33KCXXU3137U1ZO,7497.00,2027-01-06
order_U0zYnM5hLJJmQS,INV/26-27/1010,,11099.00,2027-01-06
order_ege2gLLXZpgWrm,INV/26-27/1011,,3599.00,2027-01-07
order_qBHdVZgoQvdAXK,INV/26-27/1012,,6600.00,2027-01-07
order_vtUo3SEV0npMvm,INV/26-27/1013,,5000.00,2027-01-07
order_5aRL0WahrIfUo2,INV/26-27/1014,,1097.00,2027-01-08
order_ZZDyIX7P8UyPlu,INV/26-27/1015,33JHHXR4864L1Z4,1097.00,2027-01-08
order_HivuoRvoq7Tx2x,INV/26-27/1016,,2200.00,2027-01-09
order_NUgkP0sr6Wt7x8,INV/26-27/1017,,2548.00,2027-01-09
order_V9uPb2p2pU9fuy,INV/26-27/1018,,3148.00,2027-01-09
order_a4auJ6hHUJ30Bd,INV/26-27/1019,27CWMXV7852I1Z4,18249.00,2027-01-09
order_oEVRN2S1puH64p,INV/26-27/1020,,13649.00,2027-01-09
order_pb8K0YA47UPIVn,INV/26-27/1021,,17049.00,2027-01-09
order_sWTw7evHLjxr6h,INV/26-27/1022,27EILXJ0425R1ZA,7849.00,2027-01-10
order_szhPpfV7rz7tpC,INV/26-27/1023,,7500.00,2027-01-10
order_tNWtOsX1fcoKsf,INV/26-27/1024,,12799.00,2027-01-10
order_9nZlXS25zmzy4Q,INV/26-27/1025,,30149.00,2027-01-11
