order_id,invoice_no,gstin,amount,invoice_date
order_JzasBnYRqYN2pJ,INV/26-27/1001,29ITRXY1671F1ZA,1747.00,2027-01-04
order_PAcTYMq28FNxqi,INV/26-27/1002,33JXNXF4380M1ZG,1648.00,2027-01-04
order_aIZDz4bRMawKZy,INV/26-27/1003,,61599.00,2027-01-04
order_oRLNYNnXeQt109,INV/26-27/1004,,7449.00,2027-01-04
order_Y7hOwtHBWMSoHh,INV/26-27/1005,,10899.00,2027-01-05
order_szLIGAMhik5Wrr,INV/26-27/1006,,3849.00,2027-01-05
order_yGwT57OJI5e7bt,INV/26-27/1007,,6800.00,2027-01-05
order_yR6KJimn1P1GyH,INV/26-27/1008,,48000.00,2027-01-05
order_3X07pDWjNEoutG,INV/26-27/1009,,78149.00,2027-01-06
order_RE3LwCLB88Y03v,INV/26-27/1010,33AEIXH3343D1ZL,10649.00,2027-01-06
order_WlKgJXPdlJza2O,INV/26-27/1011,,7099.00,2027-01-06
order_ZyWPNP1aNXYmiD,INV/26-27/1012,,4097.00,2027-01-06
order_576NeDQs0K8oMh,INV/26-27/1013,,9450.00,2027-01-07
order_QtbNL7cKHYc0Rv,INV/26-27/1014,,10999.00,2027-01-07
order_UpAhjzyQxAOpal,INV/26-27/1015,,12349.00,2027-01-07
order_YFuDhgfR00a6FA,INV/26-27/1016,,1299.00,2027-01-07
order_Z6DifuPiw4RKQg,INV/26-27/1017,27UYFXB6612M1ZD,33000.00,2027-01-07
order_vALkx4hUeRtlAE,INV/26-27/1018,,16049.00,2027-01-07
order_8Rn41PnjgszgKk,INV/26-27/1019,,8549.00,2027-01-08
order_82JyBNqUuZ03Fi,INV/26-27/1020,,1850.00,2027-01-09
order_ChMj3geNyPpnYk,INV/26-27/1021,,82000.00,2027-01-09
order_GebOkvba6e5q4y,INV/26-27/1022,,9600.00,2027-01-09
order_JZsInR5lOmwiSI,INV/26-27/1023,,6099.00,2027-01-09
order_UGQslVWI6toLmL,INV/26-27/1024,,14850.00,2027-01-09
order_dENYywLM5pf8x8,INV/26-27/1025,,14850.00,2027-01-09
order_43NerriDKqTCIH,INV/26-27/1026,,1647.00,2027-01-10
