gstin,invoice_no,invoice_date,taxable_value,igst,cgst,sgst,irn,irn_generated_at,gstr1_filing_period,supplier_gstr3b_filed,itc_availability
06MKJXE0298I1ZC,INV/26-27/7010,2027-03-02,19629.68,3533.35,0.00,0.00,,,,Y,No
07CXSXY8390J1ZQ,INV/26-27/7005,2027-02-12,27032.41,4865.84,0.00,0.00,f1b6df6682ca4ffd5f26daab852aa71502a01b69d6e10500c88058cdea1aaacf,,,Y,Yes
33VQTXB9230T1Z3,INV/26-27/7013,2027-02-08,26812.62,4826.28,0.00,0.00,589b3cd7c0be88b20a562a5f8295ed3c60123f58af4d80d26c410cbb95fb3513,,,Y,Yes
24ODSXA9074W1ZM,INV/26-27/7006,2027-02-26,24807.68,4465.39,0.00,0.00,66f3bda6740c6781e7ed4eee640e580b6c3089cd4493bd3005dc115ef0d4569b,,,Y,Yes
24RCBXB7015F1ZF,INV/26-27/7014,2027-02-18,14440.42,2599.28,0.00,0.00,c008e7d64421a3816838ffd1aa143b136db614fb02ffdababc2186f5a410cd50,,,Y,Yes
33BFEXA2278V1ZK,INV/26-27/7022,2027-02-13,28265.19,5087.74,0.00,0.00,9bf83ee5b011e9d577e9bdb28ad6e8d260e5fb2bdc12dc754365f9e0af05e321,,,Y,Yes
24MMCXY4387T1Z5,INV/26-27/7012,2027-02-03,14711.03,2647.99,0.00,0.00,30fa5ff494fa9ff28aa404a6b252f61807c532e219b028639ccaa8f255893b15,,,Y,Yes
29ACAXY6152O1ZD,INV/26-27/7002,2027-03-01,26708.11,0.00,2403.73,2403.73,,2027-03-01T09:15:00,2027-03,Y,No
33MUZXY4250U1ZF,INV/26-27/7016,2027-01-17,17877.34,3217.93,0.00,0.00,751cb380369cd54ab4d4115e6352161f3c990e5c3413c3f4fc4545ccc164d873,,,Y,Yes
07JIHXL9288V1Z6,INV/26-27/7004,2027-01-29,9046.46,1628.37,0.00,0.00,d6d81213cff3f00c8d02b2ec004048865a0ba3dea1f7b2643ee8e6f2ed0a08d7,,,Y,Yes
24BQMXJ3305U1ZV,INV/26-27/7003,2027-02-06,15374.06,2767.34,0.00,0.00,bb15d8d57b1effe37ba23768f040e0f3510cec74338c76825dc3e80a895d4691,,,Y,Yes
06SNNXN1081P1ZI,INV/26-27/7008,2027-02-08,16716.38,3008.95,0.00,0.00,85d68893358d5a16a278f8297bd97ee2ecb748f0aa660b65cc8f47fced19050b,,,Y,Yes
27ROFXW2661U1ZY,INV/26-27/7019,2027-03-14,10907.33,1963.32,0.00,0.00,d907461022c477f20a4d0aad4468b559c041a49a9840189db549205a4b13f52b,,,Y,Yes
29ACAXY6152O1ZD,INV/26-27/7000,2027-01-01,13595.98,0.00,1223.64,1223.64,9cc20c72da0e43d0c524edbf279b9139a3c450d6905b934a246817a1f4d0d007,2027-01-01T09:15:00,2027-01,N,Yes
29PDVXB6755T1ZF,INV/26-27/7018,2027-02-12,26747.55,0.00,2407.28,2407.28,f5e8d16c5990911918b7a90fd1482dd1032b1d41eb22f9089bf17e135e69fb16,,,Y,Yes
06HSNXT5969Q1ZQ,INV/26-27/7020,2027-02-11,7942.51,1429.66,0.00,0.00,bf3bbb1d20ac41d2705c4ef683d194016426090ed87020c1675556f2142cbc0b,,,N,Yes
29QJXXK9730B1ZU,INV/26-27/7021,2027-01-08,14554.42,0.00,1309.90,1309.90,264ee80e07004c40efcdfdd1edea909b997bed92479d4c179bfb5d8717074945,,,Y,Yes
07GPDXP8168U1Z4,INV/26-27/7009,2027-01-20,14001.58,2520.29,0.00,0.00,48ccef96fab92a0ac4c1caee1d7c9e1b64f3e746c865dea74ad56f99e02b8335,,,Y,Yes
33JDJXF8226F1Z3,INV/26-27/7007,2027-03-02,25337.64,4560.78,0.00,0.00,f6628b6f7b52dabdd57cd700c5e1dcbb21045c25f607dbe8fd60919719e368e2,,,Y,Yes
06TDCXZ7890D1Z5,INV/26-27/7011,2027-03-28,12681.18,2282.62,0.00,0.00,d668808f5b17ccea13f6297f9c407b1749fc9c8b156d236cd06311b596462ce8,,,Y,Yes
29UELXA7158K1Z2,INV/26-27/7023,2027-03-26,2765.48,0.00,248.90,248.90,5aea94a576aaf917ca8ed08c3eb3cdbeada9a044dbab3d80f20a3bddd811a7b1,,,N,Yes
33JAKXQ4827V1Z1,INV/26-27/7017,2027-02-24,21180.08,3812.42,0.00,0.00,ab9a86999322ebd921997fb1e681ef4a15565524519b954c7694a99261248e75,,,Y,Yes
06CDFXR7992F1ZK,INV/26-27/7015,2027-03-26,20362.14,3665.19,0.00,0.00,d1f958735eda4c5851798bd5a20e8819ad806b616e9b1c8b26f76cfcb09b89b0,,,Y,Yes
