bank_reference,value_date,narration,amount
RATN27008735906,2027-01-08,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27008735906,11348.86
RATN27013735909,2027-01-13,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,654626.77
RATN27022735941,2027-01-22,NEFT RET RATN27022735941 - ACCOUNT CLOSED,-6266.11
,2027-01-25,NEFT CR RATN27025735952 ARCLIGHT SY,19016.17
RATN27025735978,2027-01-25,NEFT CR RATN27025735978 RAZORPAY SOFTWARE PRIVATE LIMITED,99737.72
RATN27027735980,2027-01-27,NEFT CR RATN27027735980 RAZORPAY SOFTWARE PRIVATE LIMITED,73487.16
RATN27036736005,2027-02-05,NEFT CR RATN27036736005 RAZORPAYSOFTWAREP,704732.01
RATN27042736034,2027-02-11,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,144060.18
RATN27046736045,2027-02-15,IMPS/RATN27046736045/RAZORPAYSOFTWAREP,32102.06
RATN27049736075,2027-02-18,NEFT CR RATN27049736075 RAZORPAY SOFTWARE PRIVATE LIMITED,598636.08
RATN27057736077,2027-02-26,RTGS-CR-RATN27057736077-RAZORPAY SOFTWARE PRIVATE LIMITED,107286.52
RATN27060736080,2027-03-01,CHG:NEFT OUTWARD RATN27060736080,-107286.52
RATN27063736085,2027-03-04,RTGS-CR-RATN27063736085-RAZORPAY SOFTWARE PVT LTD,405835.03
RATN27067736123,2027-03-08,NEFT-CR-RATN0000088-CLG,-5974.44
RATN27069736127,2027-03-10,NEFT-CR-RATN0000088-CLG,-1002.37
RATN27070736148,2027-03-11,RTGS-CR-RATN27070736148-RAZORPAY SOFTWARE,44577.71
RATN27071736155,2027-03-12,NEFT CR RATN27071736155 RAZORPAY SOFTWARE,15593.27
RATN27074736159,2027-03-15,NEFT CR RATN27074736159 RAZORPAY SOFTWARE PRIVATE LIMITED,30468.57
RATN27077736173,2027-03-18,RTGS-CR-RATN27077736173-RAZORPAY SOFTWARE PRIVATE LIMITED,317374.72
RATN27083736174,2027-03-24,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27083736174,382255.41
