order_id,invoice_no,gstin,amount,invoice_date
order_RCmXoovUWu4lPB,INV/26-27/1001,,10599.00,2027-01-04
order_LA2Olu3Y4xwbw5,INV/26-27/1002,,78099.00,2027-01-05
order_M4ERFthOVAz7Wu,INV/26-27/1003,,6145.00,2027-01-05
order_SQRDsAQmMhFwrg,INV/26-27/1004,,4650.00,2027-01-05
order_UzWj3rAvBrE0ro,INV/26-27/1005,,8849.00,2027-01-05
order_n05oslBjaxVi9M,INV/26-27/1006,,12150.00,2027-01-05
order_9MiPJPh4Ybnwk8,INV/26-27/1007,,51149.00,2027-01-06
order_Bmjx7poo0Mc5yG,INV/26-27/1008,,349.00,2027-01-06
order_Sz0EUDIVKtAcm7,INV/26-27/1009,07TGKXG0037L1ZI,9899.00,2027-01-06
order_gX1rXicphWEK9g,INV/26-27/1010,,12750.00,2027-01-06
order_iwc1ks8HUTrcBH,INV/26-27/1011,,13699.00,2027-01-06
order_kEICVb00hgaAF7,INV/26-27/1012,,12750.00,2027-01-06
order_s1h6nfZDsO1RJw,INV/26-27/1013,,6449.00,2027-01-06
order_5BfMDVqehgxMdH,INV/26-27/1014,33AMSXY1208Z1ZC,10799.00,2027-01-07
order_FqAmhChTaarTnj,INV/26-27/1015,,92149.00,2027-01-07
order_IC3rfXhE3DltXy,INV/26-27/1016,,54049.00,2027-01-07
order_OL7VSyuLNOamHT,INV/26-27/1017,,45049.00,2027-01-07
order_aW7DIcdeXJJZeN,INV/26-27/1018,27MFNXB7347I1ZE,2900.00,2027-01-07
order_tu18K9v88iaHb1,INV/26-27/1019,,9349.00,2027-01-07
order_zkGIOMGjdsF06x,INV/26-27/1020,,29049.00,2027-01-07
order_0je1pvyHrxENwi,INV/26-27/1021,,5899.00,2027-01-08
order_rLmUWSeawLEhwC,INV/26-27/1022,29FLVXR4147T1Z2,11850.00,2027-01-08
order_8lqvkTaqpICOHp,INV/26-27/1023,,8399.00,2027-01-09
order_XeRrX8vU96SgbW,INV/26-27/1024,29TFYXE9491M1Z8,15749.00,2027-01-09
order_qNKGTjR8ZiTNsN,INV/26-27/1025,29GJMXQ8508D1Z7,1996.00,2027-01-09
order_wcLqG1v8c5EHYx,INV/26-27/1026,29HMXXB1063R1ZN,55500.00,2027-01-09
order_PS0cANdVHLHD16,INV/26-27/1027,,2500.00,2027-01-10
