gstin,invoice_no,invoice_date,taxable_value,igst,cgst,sgst,irn,irn_generated_at,gstr1_filing_period,supplier_gstr3b_filed,itc_availability
33SYDXT3888B1ZD,INV/26-27/7004,2027-03-26,11751.79,2115.33,0.00,0.00,26e712d305f53e2c43872aaa8afb602675845a3432c2ac08bb0c93a5a7f6cc95,,,Y,Yes
29VZTXR7564U1ZJ,INV/26-27/7019,2027-03-29,8623.19,0.00,776.09,776.09,4946c1125573099bd1123e9b3bd4dde5145de7695154abbbfce6933238f45ec0,,,Y,Yes
24RLIXY1441S1ZH,INV/26-27/7018,2027-01-09,13338.30,2400.90,0.00,0.00,373559d10f5fda7a3d12cc820be84025fde5b318956d81d85e47ee6067737b96,,,Y,Yes
06PWDXW0443P1Z8,INV/26-27/7012,2027-03-12,19924.41,3586.40,0.00,0.00,,,,Y,No
29GEYXK4133K1Z8,INV/26-27/7002,2027-03-01,26007.88,0.00,2340.71,2340.71,,2027-03-01T09:15:00,2027-03,Y,No
06XHPXQ6080C1Z3,INV/26-27/7003,2027-02-14,20315.27,3656.75,0.00,0.00,4126e2e2d54ab5c02b17e6a19791baf65a978c4dd6f1ef1d103aeef562146aab,,,Y,Yes
29JGOXF1332Y1ZT,INV/26-27/7008,2027-03-27,21939.48,0.00,1974.56,1974.56,c6a3d63b9746bed0929dde46ae69fa2698d872b9df5216851240d4a790b3ac18,,,Y,Yes
33BTLXP5589E1ZS,INV/26-27/7005,2027-01-19,28418.02,5115.25,0.00,0.00,283803c0ced7537c597fc2ec413c4f4e2b7c0a40a75a7787e0d17a0e036702e1,,,Y,Yes
29GEYXK4133K1Z8,INV/26-27/7000,2027-01-01,16893.84,0.00,1520.45,1520.45,9c27d3e76274e552d3fca459a695ea94ff9ed4a9f2eef1ee4032d8a8eae6bc20,2027-01-01T09:15:00,2027-01,N,Yes
07KERXO6039D1ZJ,INV/26-27/7021,2027-03-14,7172.06,1290.98,0.00,0.00,,,,Y,No
33QURXL6660Q1ZU,INV/26-27/7010,2027-01-30,12206.76,2197.22,0.00,0.00,44f0b9cecec31fbaf16cda553671ee8ec867dbc5b195c702ed83e2e3a2b52f1c,,,Y,Yes
06SMTXB4116S1ZM,INV/26-27/7011,2027-03-21,6054.53,1089.82,0.00,0.00,b0e3bbc447fdf693809512198623262b712e0b0f7f8ba4399daefc86015b13be,,,Y,Yes
33WZPXQ7979N1Z1,INV/26-27/7020,2027-02-14,15458.97,2782.62,0.00,0.00,6467a9a0a8613a4f9bc30af7947b07311ae0be628b1347177d8281c81ca3030e,,,Y,Yes
24FTOXI7063B1Z8,INV/26-27/7007,2027-03-23,6514.13,1172.55,0.00,0.00,,,,N,No
07DJJXY6287T1Z6,INV/26-27/7006,2027-03-08,17364.10,3125.54,0.00,0.00,56cec4032cd90719e0750031054398a24f0bd77fa43bfc829f9e257bc797c05c,,,Y,Yes
07BYMXQ6147K1ZA,INV/26-27/7009,2027-03-16,9060.55,1630.90,0.00,0.00,639052fa8f638e78d91510db2ae4be12d5fa1ec19283ddea139ef84e6b34fb56,,,Y,Yes
07RNDXZ6727Q1Z2,INV/26-27/7015,2027-01-18,22510.05,4051.81,0.00,0.00,3ec99e6b7bbbe126f0f6b9cba059e0451844f0418848532c9dd47adb62a1ad1a,,,Y,Yes
29ECXXH4931G1ZL,INV/26-27/7014,2027-03-01,28601.33,0.00,2574.12,2574.12,3e728460edca48bb60ab04ff5a1ca50fd22f43e20d2214966254c7eddba4dd2f,,,N,Yes
27ESNXM7379J1ZA,INV/26-27/7017,2027-02-26,21878.07,3938.06,0.00,0.00,f19ece15a42fc795db02efcf958c90a62df8a806166b0368fbd3e02e5d2933d0,,,N,Yes
29EMQXT7231L1ZL,INV/26-27/7023,2027-02-25,26536.40,0.00,2388.28,2388.28,0e48695613fe6bbf2e9a0f5966debb3e58833b74dd62dedf5869c15195b9c3a0,,,Y,Yes
06HDDXA1664C1ZN,INV/26-27/7022,2027-03-06,13150.62,2367.12,0.00,0.00,aea32bc83ee2a771236365b075ff8ad1da9c883affb73d520eb22eaafdcbe792,,,Y,Yes
07IQYXZ6559R1ZC,INV/26-27/7016,2027-01-24,22033.57,3966.05,0.00,0.00,4a6a72b5ca53628aad5723fdda72ac81bd051faf72ee6411acc7ae83928f5e30,,,Y,Yes
06HMWXI7839W1ZV,INV/26-27/7013,2027-01-24,3153.71,567.67,0.00,0.00,935505f7f7c635c800c1b8b9506dfd31582bb11531a11d40e8a0203ebb34c78d,,,Y,Yes
