settlement_id,reported_reference,reported_amount,initiated_at,status
setl_8hg2hKlWbkxTWZ,RATN27008735906,11348.86,2027-01-06,processed
setl_WeAaKUPsFERnQR,RATN27013735909,654626.77,2027-01-13,processed
setl_mpcTLBGVo512uj,RATN27025735978,99737.72,2027-01-20,processed
setl_0kof9IMp73ybGJ,RATN27027735980,73487.16,2027-01-27,processed
setl_XLtrYMuKoXsucJ,RATN27036736005,704732.01,2027-02-03,processed
setl_Oea5j3edpMDyQX,RATN27042736034,144060.18,2027-02-10,processed
setl_5m8Xautm6t6rL8,RATN27049736075,598636.08,2027-02-17,processed
setl_ZDXpKIkjhRROzU,RATN27057736077,107286.52,2027-02-24,processed
setl_5thvdDcAmZfwpn,RATN27063736085,405835.03,2027-03-03,processed
setl_N1GYCB7lhxpVdP,RATN27070736148,44577.71,2027-03-10,processed
setl_v4SlDRrT1hbf7x,RATN27077736173,316920.99,2027-03-17,processed
setl_OMy8KT0Eg0uoo9,RATN27083736174,382255.41,2027-03-24,processed
