bank_reference,value_date,narration,amount
RATN27006266314,2027-01-06,NEFT-CR-RATN0000088-CLG,9847.24
RATN27011266349,2027-01-11,NEFT-DR-RATN0000088-RAZORPAYSOFTWAREP-RATN27011266349,-824.87
RATN27013266383,2027-01-13,NEFT CR RATN27013266383 RAZORPAY SOFTWARE PVT LTD,376711.07
RATN27021266386,2027-01-21,RTGS-CR-RATN27021266386-RAZORPAYSOFTWAREP,351394.81
RATN27027266423,2027-01-27,IMPS/RATN27027266423/RAZORPAY SOFTWARE,258304.07
RATN27039266435,2027-02-08,NEFT-CR-RATN0000088-VERTEX SUPPLY CO,24775.03
RATN27039266442,2027-02-08,CHG:NEFT OUTWARD RATN27039266442,-8359.02
RATN27039266476,2027-02-08,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27039266476,273063.70
RATN27041266493,2027-02-10,NEFT CR RATN27041266493 RAZORPAY SOFTWARE,193774.47
RATN27042266519,2027-02-11,NEFT RET RATN27042266519 - ACCOUNT CLOSED,-273063.70
RATN27050266535,2027-02-19,NEFT CR RATN27050266535 RAZORPAY SOFTWARE PRIVATE LIMITED,446127.56
RATN27055266556,2027-02-24,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE,253513.74
,2027-03-04,NEFT-CR-RATN0000088-CLG,31621.33
RATN27063266598,2027-03-04,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,378093.19
RATN27069266632,2027-03-10,CHG:NEFT OUTWARD RATN********,-5812.50
RATN27074266634,2027-03-15,IMPS/RATN27074266634/RAZORPAYSOFTWAREP,214891.01
RATN27077266642,2027-03-18,NEFT CR RATN27077266642 RAZORPAY SOFTWARE PVT LTD,375567.41
RATN27081266676,2027-03-22,RTGS-CR-RATN27081266676-RAZORPAY SOFTWARE PRIVATE LIMITED,21818.15
RATN27088266681,2027-03-29,NEFT CR RATN27088266681 NIMBUS LOGISTICS LLP,4401.91
RATN27088266693,2027-03-29,IMPS/RATN27088266693/RAZORPAY SOFTWARE PVT LTD,144374.38
