order_id,invoice_no,gstin,amount,invoice_date
order_MV7IkkN7FmRtbd,INV/26-27/1001,29PLSXE8180U1ZX,3850.00,2027-01-04
order_w69CcTSk2BKijR,INV/26-27/1002,,4699.00,2027-01-04
order_82j6XxizQjjkw7,INV/26-27/1003,,9996.00,2027-01-05
order_STe0s8Mjor7T2p,INV/26-27/1004,,15249.00,2027-01-05
order_XLUbvy3Pf6sVlN,INV/26-27/1005,,8899.00,2027-01-05
order_sDoKMDdaxI6LoG,INV/26-27/1006,,70049.00,2027-01-05
order_7FOltlxF5hwG96,INV/26-27/1007,,42149.00,2027-01-06
order_HKll12GbZbjkxx,INV/26-27/1008,,11549.00,2027-01-06
order_dum5k0RL6gZWGK,INV/26-27/1009,,50000.00,2027-01-06
order_nJ6fG4J3YZ4unF,INV/26-27/1010,,4499.00,2027-01-06
order_1Yc2JmPUv0cKwj,INV/26-27/1011,29ZDJXS2625O1ZP,3999.00,2027-01-07
order_7rlCFjKodHUlUc,INV/26-27/1012,,3345.00,2027-01-07
order_luTkcmi4bX1t4I,INV/26-27/1013,,9998.00,2027-01-07
order_KSt40M02flTDcS,INV/26-27/1014,,14500.00,2027-01-08
order_mvoM34GfV4EyUO,INV/26-27/1015,,2095.00,2027-01-08
order_LfoxQTPEEsySsK,INV/26-27/1016,,8045.00,2027-01-09
order_UFM7GcMgtjnBeV,INV/26-27/1017,,37649.00,2027-01-09
order_atdG8vzTt2N3nl,INV/26-27/1018,,4200.00,2027-01-09
order_d65cHrFzWWdb9J,INV/26-27/1019,,7700.00,2027-01-09
order_8CfKrHc3rcPPVK,INV/26-27/1020,,6649.00,2027-01-10
order_ae25jzrE3oq5PI,INV/26-27/1021,,7199.00,2027-01-10
order_kPXmHLAcZqFa7O,INV/26-27/1022,,5149.00,2027-01-10
order_MaEQr8MUPGOy8m,INV/26-27/1023,,7650.00,2027-01-11
order_T6VwQhwGWitcgS,INV/26-27/1024,,1899.00,2027-01-11
order_ix3T6P01ZFMkIy,INV/26-27/1025,33BFMXE2252P1ZU,23049.00,2027-01-11
order_uhtUvTwFoUxavI,INV/26-27/1026,,9900.00,2027-01-11
order_CllqNxB9lMjRZD,INV/26-27/1027,,17800.00,2027-01-12
order_ig31jKiHuGXPDj,INV/26-27/1028,,1899.00,2027-01-12
order_Hyy616RFN504mm,INV/26-27/1029,33TDWXP8765E1ZW,11549.00,2027-01-13
order_Tu8zZT4Wm2rk7T,INV/26-27/1030,,2899.00,2027-01-14
order_qLcoxPL4XdafVe,INV/26-27/1031,07PEHXW1712J1ZH,21099.00,2027-01-14
order_HLS8WBPXev0lzk,INV/26-27/1032,,8449.00,2027-01-15
order_02qMmGL7glTuXz,INV/26-27/1033,,7400.00,2027-01-16
order_t7dMSZxHPYlGzL,INV/26-27/1034,,58099.00,2027-01-16
order_6ZbgVZqTrbsLzA,INV/26-27/1035,,10149.00,2027-01-17
order_8LWYSJn2CvVWOg,INV/26-27/1036,29WZXXR1257S1ZW,6147.00,2027-01-17
order_PGAZGfPmDagTc5,INV/26-27/1037,33JNCXJ4126L1ZH,74000.00,2027-01-17
order_VMM3ok2Y96D1ih,INV/26-27/1038,27DTRXM2190W1ZW,3196.00,2027-01-17
order_dDy64qEPP9QO4x,INV/26-27/1039,,2900.00,2027-01-17
order_h4XpxKMPGigBz1,INV/26-27/1040,,950.00,2027-01-17
order_yXfnAIP0QSYvdp,INV/26-27/1041,,1850.00,2027-01-17
order_0wrrMlROVf89vC,INV/26-27/1042,,8000.00,2027-01-18
order_7s8HI7xtzpLFu0,INV/26-27/1043,,9750.00,2027-01-18
order_KPvx6yjPDFCu74,INV/26-27/1044,,9046.00,2027-01-18
order_mOcxaM1C81l3vW,INV/26-27/1045,,8049.00,2027-01-18
order_s3XveJxA5f0jgP,INV/26-27/1046,,949.00,2027-01-18
order_Fl34soK1INI2yG,INV/26-27/1047,07QAOXQ1747S1ZU,12499.00,2027-01-19
order_ONna04tGpDwlzc,INV/26-27/1048,07HDHXK3627C1Z8,12499.00,2027-01-19
order_UBQiJOaxgVO5et,INV/26-27/1049,,10950.00,2027-01-19
order_UnbMNJj5gvSxMK,INV/26-27/1050,,4200.00,2027-01-19
order_VbVRtO0ZYD5wVD,INV/26-27/1051,07UDLXP1897K1ZT,11400.00,2027-01-19
order_x8k41CxulLOHFw,INV/26-27/1052,07FGNXU9672J1ZS,33049.00,2027-01-19
order_Az4O8wNoFO4ZP9,INV/26-27/1053,29ZHJXU9995P1ZI,4199.00,2027-01-20
order_Ojeytuhmxgsxak,INV/26-27/1054,,6799.00,2027-01-20
order_GMCMtE3f2a79Rn,INV/26-27/1055,,599.00,2027-01-21
order_T0vJd8QSKPSUf7,INV/26-27/1056,,12900.00,2027-01-21
order_VYEtJ2y5Mae2B9,INV/26-27/1057,,5999.00,2027-01-21
order_xGLmepnas3X8pr,INV/26-27/1058,,7199.00,2027-01-21
order_2Xap3LPxCfhPri,INV/26-27/1059,,94099.00,2027-01-22
order_ONmH8rU1r4y8Zn,INV/26-27/1060,,16149.00,2027-01-22
order_5ZtFTGATEema16,INV/26-27/1061,,1099.00,2027-01-23
order_fjzChQZl54jbds,INV/26-27/1062,,750.00,2027-01-23
order_iIYnZUlplLRVBG,INV/26-27/1063,,15200.00,2027-01-23
order_nYZL0gQYQB9ojT,INV/26-27/1064,,15500.00,2027-01-23
order_1bX39m8GklZhsU,INV/26-27/1065,,9450.00,2027-01-24
order_pizoAUQswnV60T,INV/26-27/1066,,20149.00,2027-01-25
order_CUXtU3bDDOD8kw,INV/26-27/1067,,68049.00,2027-01-26
order_FlRssp0WzEnM2P,INV/26-27/1068,,1000.00,2027-01-26
order_PRzvV3U6S4DnNx,INV/26-27/1069,,5100.00,2027-01-27
order_h3h1ZnRKQfUqsd,INV/26-27/1070,,38149.00,2027-01-27
order_yhTWbjJpHVc8Sk,INV/26-27/1071,,13849.00,2027-01-27
order_Rj1KznCwUgLY77,INV/26-27/1072,,17600.00,2027-01-28
order_dX7oEwa6a9xc0x,INV/26-27/1073,,3899.00,2027-01-28
order_eN9CWTQH3r9NWO,INV/26-27/1074,,10145.00,2027-01-28
order_jhwNHAkp9kF5Yz,INV/26-27/1075,27VZAXW2741W1ZC,6147.00,2027-01-28
order_mpGagfybNvbKov,INV/26-27/1076,,8200.00,2027-01-28
order_2CSPgdZXf5HBE7,INV/26-27/1077,,8649.00,2027-01-29
order_4RCQVW16d2ymu3,INV/26-27/1078,,11749.00,2027-01-29
order_L2lAaosKP08MEj,INV/26-27/1079,,19899.00,2027-01-29
order_kjsh9Pow4MYrfE,INV/26-27/1080,,697.00,2027-01-29
order_O9hpZThoPKppfg,INV/26-27/1081,,8849.00,2027-01-30
order_Uj6ByPClFM2Cqu,INV/26-27/1082,,8999.00,2027-01-30
order_VHoxWcAhVkYLpA,INV/26-27/1083,,8849.00,2027-01-30
order_d7yGYgX8nKyEOO,INV/26-27/1084,,27000.00,2027-01-30
order_crWn6D3GnRkeup,INV/26-27/1085,,6199.00,2027-01-31
order_FDTKcLrHO7MQpr,INV/26-27/1086,,8550.00,2027-02-01
order_Gv7iLqFSg54HGI,INV/26-27/1087,,16600.00,2027-02-01
order_PAtPwkLTzAS2ga,INV/26-27/1088,,5899.00,2027-02-01
order_5aa0FOvX2Ys3CN,INV/26-27/1089,,40649.00,2027-02-02
order_8cKwYyHXYOlRNY,INV/26-27/1090,,3499.00,2027-02-02
order_Dbxc1fb46lESSo,INV/26-27/1091,,6000.00,2027-02-02
order_G4Bp4ddPWx7Bed,INV/26-27/1092,07ZXNXJ3668M1ZM,8300.00,2027-02-02
order_nft26OhM38ZQU3,INV/26-27/1093,,5749.00,2027-02-02
order_qVRcqforjhnQhe,INV/26-27/1094,,5599.00,2027-02-02
order_uCgH0ilHQF69aS,INV/26-27/1095,,38149.00,2027-02-02
order_zeywicQhERiW0n,INV/26-27/1096,29QVAXO2672I1ZF,12450.00,2027-02-02
order_cT6NdqqrK035wJ,INV/26-27/1097,,1747.00,2027-02-03
order_dCd4aAgNlf06NW,INV/26-27/1098,29VGHXB2989X1Z5,1747.00,2027-02-03
order_rKr6XQsR1m0lpt,INV/26-27/1099,33BYRXI5006M1ZQ,1747.00,2027-02-03
order_w6xJwEQlFunRvy,INV/26-27/1100,,1747.00,2027-02-03
order_fOlYw68ni35qQF,INV/26-27/1101,,10299.00,2027-02-04
