settlement_id,reported_reference,reported_amount,initiated_at,status
setl_CO43BcFM32zE6A,RATN27007266519,9847.24,2027-01-06,processed
setl_NvgqR8Rv7NczJX,RATN27013266383,376711.07,2027-01-13,processed
setl_uda3kFWOYsWegf,RATN27021266386,351394.81,2027-01-20,processed
setl_jVfNAcqIB5CFh6,RATN27027266423,258304.07,2027-01-27,processed
setl_jYui9A3xKThd22,RATN27039266476,273063.70,2027-02-03,processed
setl_jSBZuqFOLhFVMQ,RATN27041266493,193774.47,2027-02-10,processed
setl_HWJQdarJeEko3R,RATN27050266535,445425.18,2027-02-17,processed
setl_2a2k4duLJnLlZH,RATN27055266556,253513.74,2027-02-24,processed
setl_8bK4iNCvt9ydq2,RATN27063266340,378093.19,2027-03-03,processed
setl_ki8sDARk3nFKdA,RATN27074266634,214891.01,2027-03-10,processed
setl_vh8hJKMuWNhu90,RATN27077266642,375567.41,2027-03-17,processed
setl_FN7A8nIsV0CXQZ,RATN27086266364,144374.38,2027-03-24,processed
