bank_reference,value_date,narration,amount
RATN27007818469,2027-01-07,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,17622.06
RATN27013818492,2027-01-13,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27013818492,293112.49
RATN27018818509,2027-01-18,IMPS/RATN27018818509/RAZORPAY SOFTWARE PVT LTD,31707.54
RATN27018818525,2027-01-18,CHG:NEFT OUTWARD RATN27018818525,-5877.55
RATN27021818558,2027-01-21,NEFT RET RATN27021818558 - ACCOUNT CLOSED,-1276.38
RATN27022818567,2027-01-22,IMPS/RATN27022818567/RAZORPAYSOFTWAREP,131535.15
RATN27025818593,2027-01-25,IMPS/RATN27025818593/ARCLIGHT SYSTEMS,33987.17
RATN27027818610,2027-01-27,IMPS/RATN27027818610/RAZORPAYSOFTWAREP,444499.50
RATN27034818648,2027-02-03,IMPS/RATN27034818648/SIXFOLD TRADING,27976.36
RATN27035818662,2027-02-04,NEFT CR RATN27035818662 RAZORPAYSOFTWAREP,77294.20
RATN27041818693,2027-02-10,NEFT CR RATN27041818693 RAZORPAY SOFTWARE,431407.72
RATN27043818705,2027-02-12,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27043818705,36309.38
RATN27049818723,2027-02-18,IMPS/RATN27049818723/RAZORPAY SOFTWARE,238645.66
RATN27054818753,2027-02-23,NEFT RET RATN27054818753 - ACCOUNT CLOSED,-273.33
RATN27056818785,2027-02-25,NEFT CR RATN27056818785 RAZO,195244.75
,2027-03-03,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN********,92492.41
RATN27071818794,2027-03-12,NEFT-CR-RATN0000088-CLG,150240.68
RATN27076818828,2027-03-17,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,244789.71
RATN27083818854,2027-03-24,RTGS-CR-RATN27083818854-RAZORPAY SOFTWARE PRIVATE LIMITED,562679.78
RATN27085818890,2027-03-26,NEFT RET RATN27085818890 - ACCOUNT CLOSED,-562679.78
