order_id,invoice_no,gstin,amount,invoice_date
order_PvzreFfWc0H07K,INV/26-27/1001,29OKUXB2351H1Z7,11550.00,2027-01-04
order_YeVfQSD5In3BCY,INV/26-27/1002,27RMSXN9933S1ZP,4349.00,2027-01-04
order_il1mqagWsKRnJe,INV/26-27/1003,,6649.00,2027-01-04
order_xGWW1A8sKjd1dd,INV/26-27/1004,,7050.00,2027-01-04
order_ecJr2XU9xPy0y6,INV/26-27/1005,,6949.00,2027-01-05
order_trT9XEERMBBzgg,INV/26-27/1006,29ETBXL3332F1ZD,6700.00,2027-01-05
order_4MNEVFqMTnRGiT,INV/26-27/1007,,10699.00,2027-01-06
order_hYqed7E6gVSuU8,INV/26-27/1008,,2699.00,2027-01-06
order_30haEisBPhkeiM,INV/26-27/1009,,94149.00,2027-01-07
order_76h8zuySJxihdH,INV/26-27/1010,,7600.00,2027-01-07
order_LujYdjpeHLE59w,INV/26-27/1011,29HLLXP6541A1ZD,5900.00,2027-01-07
order_ZGmvEus23c29nC,INV/26-27/1012,,36049.00,2027-01-07
order_pEyzCw22KxBjy2,INV/26-27/1013,27FXHXO1129X1ZZ,5900.00,2027-01-07
order_0c9pI23HOgolIX,INV/26-27/1014,33VGPXX8626F1ZT,898.00,2027-01-08
order_3Xnd65RcGzcz08,INV/26-27/1015,,11250.00,2027-01-08
order_7KlZd9AjEDQdRy,INV/26-27/1016,,898.00,2027-01-08
order_9CFM81W9PO9zO9,INV/26-27/1017,,2650.00,2027-01-08
order_YutlUpaCJEwup4,INV/26-27/1018,29UTOXQ8701D1ZC,19400.00,2027-01-08
order_4nx78nbwIsmiZA,INV/26-27/1019,,4499.00,2027-01-09
order_6zQcCxmnPvECfU,INV/26-27/1020,,1850.00,2027-01-09
order_FMRPBvn7rCEA4q,INV/26-27/1021,,4000.00,2027-01-09
order_Fnwxm2WzC9aTrY,INV/26-27/1022,,700.00,2027-01-09
order_lrLTWxwSa39g84,INV/26-27/1023,27JHMXT5612Q1ZS,16699.00,2027-01-09
order_BSKHrMwGyVIq3K,INV/26-27/1024,,1249.00,2027-01-10
order_UsmLU9C3M5PFqf,INV/26-27/1025,,2147.00,2027-01-10
order_UveEyq1fva8yxD,INV/26-27/1026,,4199.00,2027-01-10
order_XaHcMUwXVHQZWa,INV/26-27/1027,,8550.00,2027-01-10
order_jkJbPDlype6Gge,INV/26-27/1028,29WCLXV2900D1ZI,50149.00,2027-01-11
order_uCFTHaIg6CDBhG,INV/26-27/1029,,23000.00,2027-01-13
order_SqvKpZgCYinIv9,INV/26-27/1030,,18599.00,2027-01-14
order_mge7MTtlZyJ6yn,INV/26-27/1031,,25000.00,2027-01-14
order_no0rUgGy1WPRhR,INV/26-27/1032,,9499.00,2027-01-14
order_LXEKpPuqrLGKFW,INV/26-27/1033,,9600.00,2027-01-15
order_dk6hRdkqjj4q8X,INV/26-27/1034,,2598.00,2027-01-15
order_xZM3gchQbHoI1q,INV/26-27/1035,,2536.69,2027-01-15
order_ontHLPZ4Za24uJ,INV/26-27/1036,,1647.00,2027-01-16
order_uYdHcurja7GWR2,INV/26-27/1037,,9146.00,2027-01-16
order_yqUuSevT5pHNSo,INV/26-27/1038,,5700.00,2027-01-16
order_67s3OY1JW218ti,INV/26-27/1039,,600.00,2027-01-17
order_tKvKci2l95hfTB,INV/26-27/1040,,16400.00,2027-01-17
order_V9EDC9laRisfYB,INV/26-27/1041,,8049.00,2027-01-18
order_c9UigvhpyPpj8Z,INV/26-27/1042,,3650.00,2027-01-18
order_mtrZlgw41U1C4T,INV/26-27/1043,,6849.00,2027-01-18
order_ICm7JQurpPxkHi,INV/26-27/1044,,799.00,2027-01-19
order_QSsZM6Kr3igazJ,INV/26-27/1045,27OZAXJ2986S1ZP,16249.00,2027-01-19
order_ZvvOispygs8A9t,INV/26-27/1046,,996.00,2027-01-19
order_6spIzPEWckznoH,INV/26-27/1047,,18649.00,2027-01-20
order_9m8QWk6jGujGjr,INV/26-27/1048,,10147.00,2027-01-20
order_Jk9XzoAqVml07Z,INV/26-27/1049,,11599.00,2027-01-20
order_U3lyurHnSnPLAE,INV/26-27/1050,,8045.00,2027-01-20
order_k0Y1ZnoJCO4xpz,INV/26-27/1051,,11599.00,2027-01-20
order_rtHfT4gk5qM7rP,INV/26-27/1052,,88000.00,2027-01-20
order_1xlggc8AXjHbKB,INV/26-27/1053,07XSMXR3485V1ZA,6099.00,2027-01-21
order_8BByhNsuFc5O7C,INV/26-27/1054,,11049.00,2027-01-21
order_n70jxCZh4DK40u,INV/26-27/1055,,11049.00,2027-01-21
order_nQX7t1CkfJtRig,INV/26-27/1056,,849.00,2027-01-21
order_QpobiYqyMBVvn9,INV/26-27/1057,27NSUXU3541U1ZK,1548.00,2027-01-22
order_ibexS5j5zmmWYf,INV/26-27/1058,,15400.00,2027-01-22
order_oKa6BT6OoHuerW,INV/26-27/1059,,5196.00,2027-01-22
order_xAnIltJtw3fFYJ,INV/26-27/1060,,4049.00,2027-01-22
order_2d08dhnbOEUj8b,INV/26-27/1061,,1599.00,2027-01-23
order_3LcNznC3P4dap7,INV/26-27/1062,,8049.00,2027-01-23
order_CryatEzXAg9aBF,INV/26-27/1063,,10099.00,2027-01-23
order_WTvY3bRXU2iwPZ,INV/26-27/1064,,73549.00,2027-01-23
order_eRxBYNiEOxfOrj,INV/26-27/1065,27CEZXF9913N1Z0,300.00,2027-01-23
order_mTeEPiS0E7OPWG,INV/26-27/1066,29CUTXW2255E1ZI,57149.00,2027-01-23
order_JnqR9hQYOsDTbc,INV/26-27/1067,,3450.00,2027-01-24
order_chzdZuUT01bfqu,INV/26-27/1068,,45099.00,2027-01-24
order_jYzyRmxZMPUfbl,INV/26-27/1069,,1747.00,2027-01-24
order_sAXz4H5Im19gwe,INV/26-27/1070,,10799.00,2027-01-24
order_6LzabLVJ0vufbu,INV/26-27/1071,27SNTXH4966L1Z6,4095.00,2027-01-25
order_LSBG1xRwUXJTIY,INV/26-27/1072,,4095.00,2027-01-25
order_OQTHkQ4gaAWyF5,INV/26-27/1073,,3200.00,2027-01-25
order_pdya0gZRdpYoAb,INV/26-27/1074,,3649.00,2027-01-26
order_wj8cq8uuvu5fCE,INV/26-27/1075,,5899.00,2027-01-26
order_f5ykEBuNiIiuBY,INV/26-27/1076,,848.00,2027-01-28
order_juDCb6GjyUnbnG,INV/26-27/1077,,8250.00,2027-01-28
order_nJdc0RjoKmNEj5,INV/26-27/1078,,13799.00,2027-01-28
order_3SeUGqF8gS4m8C,INV/26-27/1079,,897.00,2027-01-30
order_OkV2Hvr6iWS7kB,INV/26-27/1080,,897.00,2027-01-30
order_Z4ei6jitjNgR1b,INV/26-27/1081,,996.00,2027-01-30
order_ahfnvbzBOk8idr,INV/26-27/1082,,4047.00,2027-01-30
order_exCIycuIELRkIS,INV/26-27/1083,,18949.00,2027-01-30
order_8hH8ZjuTGXZyxu,INV/26-27/1084,,4300.00,2027-01-31
order_OvFZlD2Je89Gta,INV/26-27/1085,,2650.00,2027-01-31
order_IYUhb9fXeX6ouB,INV/26-27/1086,,799.00,2027-02-01
order_S8y2sUfR5J4Ib8,INV/26-27/1087,,3399.00,2027-02-01
order_ZQ3YRQpf13hEJ1,INV/26-27/1088,,8749.00,2027-02-01
order_Enms7Wf9zfR1Ot,INV/26-27/1089,,750.00,2027-02-02
order_GR40883lafO9FS,INV/26-27/1090,,10299.00,2027-02-02
order_XY5CVOfe4RsEGF,INV/26-27/1091,,2350.00,2027-02-02
order_edLEjqyxJGXBSk,INV/26-27/1092,,9400.00,2027-02-02
order_zGIB2NyWa0oSw2,INV/26-27/1093,,5400.00,2027-02-02
order_SGxYd2XqinECW4,INV/26-27/1094,33NTVXT5410C1ZU,6049.00,2027-02-03
order_UnlGnAp2hsz0nW,INV/26-27/1095,,2145.00,2027-02-03
order_TTTDxgFNlcUR7i,INV/26-27/1096,27ZZGXJ0623Q1ZY,33000.00,2027-02-04
order_wJ3yuK83qoYkIs,INV/26-27/1097,07UKTXZ2910Z1ZM,8500.00,2027-02-04
order_05tTaSg509BDk9,INV/26-27/1098,,38049.00,2027-02-05
order_1eM1E53GOPxiCp,INV/26-27/1099,,7099.00,2027-02-05
order_PShdd8RPckkWdr,INV/26-27/1100,,6097.00,2027-02-05
order_YMC5l27klX6Yl2,INV/26-27/1101,,3949.00,2027-02-05
order_BNDKzGEIPzCPj1,INV/26-27/1102,,51049.00,2027-02-06
order_BqQCa4LZzX7jTF,INV/26-27/1103,,9399.00,2027-02-06
order_J2K96rpW33i63y,INV/26-27/1104,,17949.00,2027-02-06
order_JnCLxmdsis3J6A,INV/26-27/1105,27ZDAXK8084Q1ZP,299.00,2027-02-06
order_s0P8rNQyH8ImoT,INV/26-27/1106,,1200.00,2027-02-07
order_KF6dRDMYtZ1VdM,INV/26-27/1107,,72000.00,2027-02-08
order_UvaburHQXwgfoa,INV/26-27/1108,,17349.00,2027-02-08
order_qVhGfgAN5COW0d,INV/26-27/1109,,17000.00,2027-02-08
order_Nw3NZ1QnNFKKgj,INV/26-27/1110,07XJWXN0568O1Z6,14250.00,2027-02-09
order_acuxYAOf2tvaS4,INV/26-27/1111,,16699.00,2027-02-10
order_g3mdd0uoj8UwEQ,INV/26-27/1112,,16749.00,2027-02-10
order_mw7j4QCb2L1vQg,INV/26-27/1113,,2446.00,2027-02-10
order_cIl2fZh7XvNGtk,INV/26-27/1114,,7449.00,2027-02-11
order_MknahZEHVDomXQ,INV/26-27/1115,,9749.00,2027-02-12
order_ZcItZ5Ezexs6t0,INV/26-27/1116,,16349.00,2027-02-12
order_iNCAFILlVwKLDL,INV/26-27/1117,,1800.00,2027-02-12
order_6yFBd1k8AkoKex,INV/26-27/1118,,1148.00,2027-02-13
order_DGkqFkfXnvx2u3,INV/26-27/1119,07OJCXS4846Y1Z5,10749.00,2027-02-13
order_ZARYKqz8s9jVJH,INV/26-27/1120,,86049.00,2027-02-13
order_a6AY0a3W6lbYRZ,INV/26-27/1121,,299.00,2027-02-13
order_asRScEyTEWqluJ,INV/26-27/1122,,6649.00,2027-02-13
order_j92hpqFul1g2AH,INV/26-27/1123,,10749.00,2027-02-13
order_zHEsnBaDN1x3Iv,INV/26-27/1124,33UWOXW9448X1ZS,11649.00,2027-02-13
order_CkyYyroOPDgm81,INV/26-27/1125,,19400.00,2027-02-14
order_uQiFKVPDR0d6fy,INV/26-27/1126,,10350.00,2027-02-14
order_2Ia8l61lSreoZW,INV/26-27/1127,,1448.00,2027-02-15
order_BTEysPSJaRSdKx,INV/26-27/1128,,2049.00,2027-02-16
order_XUlvzC1QA8Q0Jh,INV/26-27/1129,,1099.00,2027-02-16
order_xowHSxk5cpT0V7,INV/26-27/1130,,10350.00,2027-02-16
order_B0tW2cPs5SaQWj,INV/26-27/1131,,1348.02,2027-02-17
order_nN42Ei5rUttAzx,INV/26-27/1132,07WGTXW7972C1ZJ,1348.00,2027-02-17
order_vZthVVBjsFEgAF,INV/26-27/1133,,2349.00,2027-02-17
order_6rLtejnL61Pnrj,INV/26-27/1134,,11199.00,2027-02-18
order_fjOvfR0W0AYseH,INV/26-27/1135,,11199.00,2027-02-18
order_rYdsL37oqYBtKC,INV/26-27/1136,07WCWXD3911T1ZT,6096.00,2027-02-18
order_tjutWsMtMlVyyU,INV/26-27/1137,,13350.00,2027-02-18
order_R30Fd6hLeBGqSF,INV/26-27/1138,,2699.00,2027-02-19
order_iHHeK9in8HjE57,INV/26-27/1139,,1400.00,2027-02-19
order_leeKLMu81RwXN2,INV/26-27/1140,,4450.00,2027-02-19
order_xWTOvmZyp9fQ6U,INV/26-27/1141,,1646.00,2027-02-19
order_NgUW8zPf8sDiMZ,INV/26-27/1142,,10649.00,2027-02-20
