gstin,invoice_no,invoice_date,taxable_value,igst,cgst,sgst,irn,irn_generated_at,gstr1_filing_period,supplier_gstr3b_filed,itc_availability
29YBNXO3812T1ZL,INV/26-27/7019,2027-03-10,18625.95,0.00,1676.34,1676.34,c9ecfa08244e07a4824a665bb09b725f529172e4bc660b02626a537502ce9e6d,,,Y,Yes
24CGHXP5371B1Z3,INV/26-27/7009,2027-03-16,7598.58,1367.75,0.00,0.00,3d5a284213be0e6416677977e124bc7578346b499f43bc440fbe8ec57b66daa4,,,Y,Yes
27ARSXD2620A1ZT,INV/26-27/7023,2027-01-21,28771.13,5178.81,0.00,0.00,60661baff797ab860e7fc5504ae8cc4c012a9e4b7cb34cb2214d4c79621f1a93,,,Y,Yes
29JMLXZ3559Q1ZY,INV/26-27/7002,2027-03-01,49680.88,0.00,4471.28,4471.28,,2027-03-01T09:15:00,2027-03,Y,No
07JZSXI5276T1ZG,INV/26-27/7007,2027-02-16,10524.23,1894.37,0.00,0.00,22394e82f46f17c229058fbf47dfabe917cd4599235fb24cb94bf141c42af55c,,,Y,Yes
24UZCXO2218D1ZW,INV/26-27/7011,2027-01-25,11219.09,2019.44,0.00,0.00,6fbb2c81001fae537cea89bbd06b67ecf4fa26700d0f643f34f1081c4ca7da9d,,,Y,Yes
24ZCUXU9438H1ZM,INV/26-27/7020,2027-02-16,22451.83,4041.33,0.00,0.00,b2300d8c945000db5be75e2a9411d019953a57e28c6ead45896c778c3143ed54,,,Y,Yes
29BGTXK6221B1ZW,INV/26-27/7003,2027-03-18,12477.67,0.00,1123.00,1123.00,0b2146f854822cba0677d6cfc13330e34ec8c4357fe70e0a787defb47fce7b2d,,,Y,Yes
29XVIXN4933S1ZH,INV/26-27/7010,2027-03-12,3562.51,0.00,320.63,320.63,2dd1fd1126f44aeeaf183bb6bba65dee320679708062521ce9e38f21dde8f682,,,Y,Yes
33ODYXX0079Q1ZJ,INV/26-27/7008,2027-01-06,28133.14,5063.97,0.00,0.00,97fc031b8688c3228e63760745088f8db090d9dd04474b176d78eb78cd6dd294,,,Y,Yes
06DMZXE4616A1ZO,INV/26-27/7021,2027-02-28,24553.04,4419.55,0.00,0.00,82b0b26a0d77c2a3afe272f3edaa68c245ec9a9af0ee3fccecfc2616897f1d46,,,Y,Yes
33IMOXA8953E1ZD,INV/26-27/7004,2027-02-16,26603.55,4788.64,0.00,0.00,fe932eb576f2e2bd1acc23d696e16f489a0920a4fc7604c0c71be52d6500480c,,,Y,Yes
24UNGXJ6563O1ZI,INV/26-27/7006,2027-02-10,7118.92,1281.41,0.00,0.00,a9570acafb34a53d30f018ae43314f16eb7d1290f71042cc9a691f8c2edf0fdc,,,Y,Yes
06VOWXC8740S1ZX,INV/26-27/7005,2027-01-16,26883.57,4839.05,0.00,0.00,b3db282807b029a0e98fcace849c651ce909bfd86a8a422d2e4e54997d164069,,,Y,Yes
27AOCXG0598J1ZC,INV/26-27/7018,2027-02-12,8716.42,1568.96,0.00,0.00,c3aad60b3d318d63d4130bbc9ef6d8c2f455b7c094d5dd479b9c513197899580,,,Y,Yes
24OEPXS4823L1Z4,INV/26-27/7016,2027-03-25,13044.11,2347.94,0.00,0.00,7322dc7ea8344213aeaae55721e7b8715b9e4ec5b5012c75244baec42145e291,,,Y,Yes
06QZBXS7683Z1ZZ,INV/26-27/7014,2027-02-02,4393.59,790.85,0.00,0.00,061e83a6944fa9bd4ece2bcc179e285521972a6fb7217575f3cdc515eb919a6f,,,N,Yes
29YSZXI5943Y1ZU,INV/26-27/7022,2027-03-13,8016.97,0.00,721.53,721.53,,,,Y,No
06KNLXN6449R1ZA,INV/26-27/7013,2027-01-22,16928.16,3047.07,0.00,0.00,f9e43b1c38edaa27fcabc167011f23ab0d29a57b1b3b9dd21166c4b16849f573,,,Y,Yes
24NDTXX8643R1ZC,INV/26-27/7017,2027-02-20,26157.80,4708.41,0.00,0.00,26d977b4614bcbe34c6442552e9d8143bb3a8eb1095f258f2c9c7522bc2a773e,,,Y,Yes
07INYXU7600I1ZL,INV/26-27/7015,2027-03-07,14813.04,2666.35,0.00,0.00,1fecf73fe0c6e45e53e67a82d4e71d0f4a497cc8320751c2826118669c610fd2,,,Y,Yes
29JMLXZ3559Q1ZY,INV/26-27/7000,2027-01-01,36495.29,0.00,3284.58,3284.58,e421c6bb0464ff80ac78719e3a392686dcd3a4e44a5696faedde31ff11737ca6,2027-01-01T09:15:00,2027-01,N,Yes
06AORXD7394F1Z5,INV/26-27/7012,2027-02-12,5784.08,1041.14,0.00,0.00,b2f97568048c76cb70477e813113cc13fc91253206d463adb891439c5d58e455,,,Y,Yes
