settlement_id,reported_reference,reported_amount,initiated_at,status
setl_VrxkUN5foXeihb,RATN27006491684,91482.81,2027-01-06,processed
setl_Q9gSQtGRrkjYtd,RATN27015491696,462172.30,2027-01-13,processed
setl_rEygSQOycuZcTB,RATN27020491799,568333.83,2027-01-20,processed
setl_uwGtDIKZROXnOE,RATN27027491821,602190.25,2027-01-27,processed
setl_QsOjFUkIT65eq9,RATN27035491829,832331.75,2027-02-03,processed
setl_NW48bml98AUF8t,RATN27041491854,309959.69,2027-02-10,processed
setl_qqfXR9fX1ckFkA,RATN27048491902,378626.05,2027-02-17,processed
setl_r8vOTTWnV2N0HT,RATN27055491911,751421.63,2027-02-24,processed
setl_kZYFSCbcogIoqc,RATN27063491934,929802.83,2027-03-03,processed
setl_Cj0rjbmHbK6Vy2,RATN27069491967,443049.82,2027-03-10,processed
setl_ENOFo1HXdJEsHw,RATN27078492029,421827.97,2027-03-17,processed
setl_Sm9zS0ZFY7SWJs,RATN27084492068,539634.77,2027-03-24,processed
