bank_reference,value_date,narration,amount
RATN27006861718,2027-01-06,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27006861718,163820.67
RATN27013861753,2027-01-13,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27013861753,274839.73
RATN27018861764,2027-01-18,CHG:NEFT OUTWARD RATN27018861764,-274839.73
RATN27020861780,2027-01-20,IMPS/RATN27020861780/RAZORPAYSOFTWAREP,566543.36
RATN27022861819,2027-01-22,NEFT-CR-RATN0000088-ARCLIGHT SYSTEMS,12405.99
RATN27027861839,2027-01-27,NEFT-CR-RATN0000088-RAZORPAYS,447105.48
RATN27034861845,2027-02-03,IMPS/RATN27034861845/RAZORPAY SOFTWARE PVT LTD,359260.54
RATN27039861880,2027-02-08,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27039861880,9702.24
RATN27042861899,2027-02-11,RTGS-CR-RATN27042861899-RAZORPAY SOFTWARE PVT LTD,289984.59
RATN27048861932,2027-02-17,RTGS-CR-RATN27048861932-RAZORPAY SOFTWARE,395301.39
RATN27053861935,2027-02-22,RTGS-CR-RATN27053861935-RAZORPAY SOFTWARE,7718.34
RATN27055861957,2027-02-24,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE,670001.30
RATN27056861979,2027-02-25,NEFT-DR-RATN0000088-CLOVERLEAF FOODS PVT LTD-RATN27056861979,-6832.92
RATN27057861982,2027-02-26,IMPS/RATN27057861982/RAZORPAY SOFTWARE PRIVATE LIMITED,3627.67
,2027-03-03,NEFT-CR-RATN0000088-CLG,565910.85
RATN27070862012,2027-03-11,NEFT-CR-RATN0000088-CLG,584340.76
RATN27078862014,2027-03-19,CHG:NEFT OUTWARD RATN27078862014,-6337.58
RATN27078862021,2027-03-19,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27078862021,532066.10
RATN27081862041,2027-03-22,NEFT-DR-RATN0000088-RAZORPAY SOFTWARE-RATN27081862041,-3598.44
RATN27084862047,2027-03-25,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27084862047,730148.87
