settlement_id,reported_reference,reported_amount,initiated_at,status
setl_dOGd6RH8s0Wc3G,RATN27006861718,163820.67,2027-01-06,processed
setl_x92LfIFOKEyA7V,RATN27013861753,275735.40,2027-01-13,processed
setl_YUWZMMI4maSpUA,RATN27020861780,566543.36,2027-01-20,processed
setl_EEmvZxHuyXHhZ4,RATN27027861839,447105.48,2027-01-27,processed
setl_FtF0UHA0vZyAsi,RATN27034861845,359260.54,2027-02-03,processed
setl_fZmKokq9zVFGLl,RATN27042861899,289984.59,2027-02-10,processed
setl_OH3gq8FlqtaBC2,RATN27048861932,395301.39,2027-02-17,processed
setl_GLCYbsheJwf4Ut,RATN27055861957,670001.30,2027-02-24,processed
setl_VFSU7fwnVUXeLy,,565910.85,2027-03-03,processed
setl_IXiFnPf2jJiPT3,RATN27070862012,584340.76,2027-03-10,processed
setl_Ri98cWJEWxBcsW,RATN27078862021,532066.10,2027-03-17,processed
setl_yCTcdU5gIQ6uHn,RATN27084862047,730148.87,2027-03-24,processed
