gstin,invoice_no,invoice_date,taxable_value,igst,cgst,sgst,irn,irn_generated_at,gstr1_filing_period,supplier_gstr3b_filed,itc_availability
24MCGXZ7427V1ZM,INV/26-27/7020,2027-03-13,3004.02,540.73,0.00,0.00,1771a70b10271a09068fdfe8d380d61ddc5323c00d2d63f3fb7ba832d6e3a0a1,,,Y,Yes
06TMKXE2239L1Z1,INV/26-27/7006,2027-03-21,3668.26,660.29,0.00,0.00,59ddea1344553d5f9268d5a4ab8e55a0a7a3c7a5c970880dd2ea3babfce44e6c,,,Y,Yes
29LBQXS7531U1ZH,INV/26-27/7000,2027-01-01,49441.76,0.00,4449.76,4449.76,fdaddd1c2bf9f443231645489e483988ef48c38a852aec2d75f57ec6eba9a0c2,2027-01-01T09:15:00,2027-01,N,Yes
33GNNXS9392Q1Z4,INV/26-27/7013,2027-03-27,4067.84,732.22,0.00,0.00,1c57079972885407a4c196db018ac74cbeec2a00d6d7bb6cc3ed7691ed9a1d01,,,N,Yes
33OVZXU4777U1ZZ,INV/26-27/7019,2027-01-09,12563.24,2261.39,0.00,0.00,0951641d7ab6ed5e99812416612dce3299150b9b09274ef424eee542b76a0708,,,Y,Yes
06JADXM5887N1ZB,INV/26-27/7010,2027-03-20,26505.19,4770.94,0.00,0.00,,,,Y,No
27CZYXM9630Y1Z3,INV/26-27/7015,2027-03-15,13835.35,2490.37,0.00,0.00,5408894cbd1bf52a9da91b3a28b81bb30a666dee724f1e0c0fc3777a6405fd2f,,,N,Yes
33EYAXJ2571N1ZT,INV/26-27/7011,2027-03-09,19571.13,3522.81,0.00,0.00,e497670fd0eadde2318dd526a4a64e99ae968072f8acccb9d8aecfc7d9bfb6c7,,,Y,Yes
24GHMXW2778U1ZD,INV/26-27/7004,2027-02-05,22266.28,4007.94,0.00,0.00,9d894f26d84fa6f49bd8a8eb36f36b86563b8d5bd1293dc84ea8d9df980661cb,,,Y,Yes
24JIOXM6937C1ZF,INV/26-27/7003,2027-03-17,562.37,101.23,0.00,0.00,73fa4e598a02e0aa4724a3e44eb5ba5e0b7d28485202578190e7317ad06cf28b,,,Y,Yes
06CZVXZ3406K1Z3,INV/26-27/7021,2027-02-04,20679.23,3722.27,0.00,0.00,243284d92f9d873571def965fe9a77e26c9c70f0379db7f5e81e7fcf3a63b5d1,,,N,Yes
27WTAXD7728Q1Z5,INV/26-27/7012,2027-01-22,12531.60,2255.69,0.00,0.00,a29e51a757acb67a49952b934bf748d178afb8414f59eaeb9ad71f5d6ba51ae6,,,Y,Yes
07YSAXW0507S1Z5,INV/26-27/7018,2027-02-19,3849.23,692.87,0.00,0.00,f4ca0a3d072d4b9bba78729725a255bb2c5651ce17b2043b689224b2efa7dcab,,,Y,Yes
29PXTXU2266S1Z5,INV/26-27/7017,2027-02-10,18168.16,0.00,1635.14,1635.14,b8b468bb9f23af968f784404e1b6f46921e2780509790cdccb13fa6197a5f1ee,,,Y,Yes
27INVXU1789O1ZW,INV/26-27/7016,2027-02-11,1913.60,344.45,0.00,0.00,7684f60c471d7f6d8ca0930c470f126ca0bc5dae9def2a4dad4a41897c8227a2,,,Y,Yes
29MUHXJ3357G1ZO,INV/26-27/7005,2027-02-05,9455.37,0.00,850.99,850.99,c221cb459b34c98e6b56a7e609063487110ab6134c344f9110760cfa16f81f4b,,,Y,Yes
24LFPXW7177R1ZC,INV/26-27/7023,2027-01-30,20781.93,3740.75,0.00,0.00,26a993a526281ec823f21a958549116010caaa8b212026010794039565f5b9e6,,,Y,Yes
24CATXA0515G1ZO,INV/26-27/7009,2027-02-25,29127.54,5242.96,0.00,0.00,b9d41edb32251eee2a505df26fc19451095f5bd7d6051f4dea7ad83f372292ed,,,Y,Yes
24BDDXQ3509O1ZU,INV/26-27/7007,2027-02-21,15144.82,2726.07,0.00,0.00,f3c10b195bc1b95697217e2d8e362dae216de7309c484318b18ec4bf4346db98,,,Y,Yes
29BKNXE4874B1ZK,INV/26-27/7022,2027-02-20,7165.70,0.00,644.92,644.92,583a373b9d35893c6ee02fddeb0cf84294eb0a213421c2493f82f6083d4891e6,,,Y,Yes
06VUPXV4666Z1ZU,INV/26-27/7008,2027-01-10,5806.07,1045.10,0.00,0.00,4d6a955f20ae08c6db988453c177e416324f53f7f0ca1430bb2840b25905409c,,,N,Yes
27MQLXI9416K1ZK,INV/26-27/7014,2027-01-29,5045.87,908.26,0.00,0.00,47559a658456543e6da71d0e415a4e522d6dafba33f1e3a1c694b4bf402ee2e3,,,Y,Yes
29LBQXS7531U1ZH,INV/26-27/7002,2027-03-01,54602.97,0.00,4914.27,4914.27,,2027-03-01T09:15:00,2027-03,Y,No
