order_id,invoice_no,gstin,amount,invoice_date
order_3b4VxccahZT0gW,INV/26-27/1001,,10699.00,2027-01-04
order_9N3VLZpnQPYmdX,INV/26-27/1002,,2148.00,2027-01-04
order_TM5Vkc9mPGO5Sh,INV/26-27/1003,,898.00,2027-01-04
order_PiGcWcp7TFXFMM,INV/26-27/1004,,12749.00,2027-01-05
order_TepgpokdSJR8aB,INV/26-27/1005,,4045.00,2027-01-06
order_sSYZMV5TI8Bpdb,INV/26-27/1006,29BVPXI8300L1ZM,5600.00,2027-01-06
order_djpts6Zq0WYU9D,INV/26-27/1007,,90049.00,2027-01-07
order_htd8MRBcXtqkRl,INV/26-27/1008,29BBNXA3057K1ZZ,61549.00,2027-01-07
order_qILNWTnmTJva41,INV/26-27/1009,,5399.00,2027-01-07
order_v3l4FMChGDOjte,INV/26-27/1010,,1697.00,2027-01-07
order_MQzxyQtkLaEwVS,INV/26-27/1011,,10950.00,2027-01-08
order_I8Jqxuw54JBERa,INV/26-27/1012,,10599.00,2027-01-09
order_UDds11cpWy7pr7,INV/26-27/1013,07JURXW6198D1Z3,850.00,2027-01-09
order_vEa0GkH1hBaclD,INV/26-27/1014,,90000.00,2027-01-09
order_8vPWJ2SxOGzXFT,INV/26-27/1015,,2350.00,2027-01-10
order_Gd4s01WQEL9up5,INV/26-27/1016,29XNKXI8472E1ZJ,3550.00,2027-01-10
order_GeWLnU5LQAkiHf,INV/26-27/1017,,2850.00,2027-01-10
order_OuJF2apOxtCjOt,INV/26-27/1018,,7497.00,2027-01-10
order_V2xSf0f4H76mU6,INV/26-27/1019,,37149.00,2027-01-10
order_WbD7cSnn1ktarj,INV/26-27/1020,,398.00,2027-01-10
order_fOXuk2DYzNJ055,INV/26-27/1021,,37149.00,2027-01-10
order_vWTbfWUQ8JGeLd,INV/26-27/1022,,8045.00,2027-01-10
order_OmFV6bjtt1cdTj,INV/26-27/1023,,58649.00,2027-01-11
order_nUJXnXzAbA4Kmv,INV/26-27/1024,,58649.00,2027-01-11
order_uJ5w54wMpdpytq,INV/26-27/1025,07UYUXD6556V1Z5,32000.00,2027-01-11
order_oWODvuvfZPsRWh,INV/26-27/1026,,2548.00,2027-01-12
order_9OvRcLftfQIS6D,INV/26-27/1027,,52049.00,2027-01-13
order_x8j3x8SaYPFFrR,INV/26-27/1028,,1650.00,2027-01-13
order_O072jT3AtNq6YT,INV/26-27/1029,,2999.00,2027-01-14
order_oRRh4zZOWg6ujA,INV/26-27/1030,,2647.00,2027-01-14
order_q4axuu60PQATdu,INV/26-27/1031,,16899.00,2027-01-14
order_3Vddm2BPZU4MJf,INV/26-27/1032,,6300.00,2027-01-15
order_UvfTe7uGbTYW1x,INV/26-27/1033,,32149.00,2027-01-15
order_ZNVsogfqKMw3hO,INV/26-27/1034,,6700.00,2027-01-15
order_EAtZoymIBISwmp,INV/26-27/1035,,700.00,2027-01-17
order_GGyThpFFZ9Mkm7,INV/26-27/1036,,9150.00,2027-01-17
order_XFbf4R1MVQJUy9,INV/26-27/1037,,4650.00,2027-01-17
order_u8fvwUi57NXd5x,INV/26-27/1038,,7050.00,2027-01-17
order_xMy2cbOHbdFyXa,INV/26-27/1039,,1350.00,2027-01-17
order_12TE3Z9ony9V5d,INV/26-27/1040,,1998.00,2027-01-18
order_5cjoa7oH5rE0sD,INV/26-27/1041,,18149.00,2027-01-18
order_LIHqFnkfkNX39p,INV/26-27/1042,,11949.00,2027-01-18
order_nqhOQiEeQCoSGz,INV/26-27/1043,,4149.00,2027-01-18
order_rv0oFTML3NQKYJ,INV/26-27/1044,,10049.00,2027-01-18
order_FMWCQ3gGyMAdKJ,INV/26-27/1045,,5098.00,2027-01-19
order_Y59DqTkLpLpdLG,INV/26-27/1046,,3146.00,2027-01-19
order_zZplpRciJf0olC,INV/26-27/1047,,1099.00,2027-01-19
order_zfvpIU7sjBhpwd,INV/26-27/1048,,1099.00,2027-01-19
order_6pfMNyVzVMWbiz,INV/26-27/1049,,72049.00,2027-01-20
order_lkX5MfczlAsku6,INV/26-27/1050,,33149.00,2027-01-20
order_GJo6kbvMc8YFwu,INV/26-27/1051,,54000.00,2027-01-21
order_fP2kcsuBQKVOqL,INV/26-27/1052,07RSGXG7483W1ZP,70149.00,2027-01-21
order_r62fzgb6pQNDfQ,INV/26-27/1053,,8699.00,2027-01-21
order_ryFNwP7nUGpRu6,INV/26-27/1054,,70149.00,2027-01-21
order_8DyiIWLlXq315k,INV/26-27/1055,33IHBXW9538R1ZP,4850.00,2027-01-22
order_9HiEdZ7EnY61bA,INV/26-27/1056,33AFUXI7812V1ZZ,1950.00,2027-01-22
order_u5esi7enb4TL2h,INV/26-27/1057,33TOOXW4109Y1ZR,3249.00,2027-01-22
order_ufV5rbp79Dn8rk,INV/26-27/1058,,1749.00,2027-01-22
order_ClATaMR0ual2Q4,INV/26-27/1059,07LUAXN5301I1Z5,548.00,2027-01-23
order_HMVsB4XiyrUBRS,INV/26-27/1060,,4998.00,2027-01-23
order_INqavuAjHQjCQF,INV/26-27/1061,,18099.00,2027-01-23
order_gYG1yPgtPxWoOK,INV/26-27/1062,07CYRXF4382P1Z4,10599.00,2027-01-23
order_TBOB8YjjcQkfzF,INV/26-27/1063,,6045.00,2027-01-24
order_ZksDPTvoGX3OlV,INV/26-27/1064,,2699.00,2027-01-24
order_ffDwYaxqaFEWDB,INV/26-27/1065,,17600.00,2027-01-25
order_mF475z30h8vgPe,INV/26-27/1066,29KNLXI7672G1ZR,8849.00,2027-01-25
