settlement_id,reported_reference,reported_amount,initiated_at,status
setl_154aEnv3IgMPFC,RATN27007479268,12543.80,2027-01-06,processed
setl_GI7qn1o6vQfOZu,RATN27015479369,528441.72,2027-01-13,processed
setl_dQCXzpGWcNI64Z,RATN27021479451,210310.76,2027-01-20,processed
setl_eIolXSTexLDbLG,RATN27028479461,439923.19,2027-01-27,processed
setl_V6gAhCdVFvGWkD,RATN27035479481,313297.62,2027-02-03,processed
setl_Py4wgaV5DrhKAh,RATN27042479548,271615.88,2027-02-10,processed
setl_6U2CRs2UPMAFhA,RATN27048479561,104141.86,2027-02-17,processed
setl_YKlQsThs36Eird,RATN27055479601,138449.23,2027-02-24,processed
setl_tHRQSzMRkKFJ6g,RATN27062479620,100626.01,2027-03-03,processed
setl_PnVxDEdcHAhaRD,RATN27070479680,177239.23,2027-03-10,processed
setl_WFfErXpbUsSati,RATN27078479719,333127.01,2027-03-17,processed
setl_3GYqESSU6sVZOF,RATN27084479756,108321.46,2027-03-24,processed
