bank_reference,value_date,narration,amount
RATN27006799613,2027-01-06,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27006799613,107740.85
RATN27014799637,2027-01-14,NEFT-CR-RATN0000088-CLG,383103.56
RATN27020799641,2027-01-20,IMPS/RATN27020799641/RAZORPAY SOFTWARE PRIVATE LIMITED,638386.21
RATN27027799669,2027-01-27,IMPS/RATN27027799669/RAZORPAY SOFTWARE PRIVATE LIMITED,593643.72
RATN27028799704,2027-01-28,NEFT RET RATN27028799704 - ACCOUNT CLOSED,-593643.72
RATN27032799731,2027-02-01,CHG:NEFT OUTWARD RATN27032799731,-4022.39
RATN27034799737,2027-02-03,RTGS-CR-RATN27034799737-RAZORPAY SOFTWARE PVT LTD,435065.54
RATN27036799745,2027-02-05,NEFT-CR-RATN0000088-CLG,-2482.68
RATN27039799760,2027-02-08,NEFT CR RATN27039799760 RAZORPAY SOFTWARE PRIVATE LIMITED,14675.28
RATN27039799768,2027-02-08,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27039799768,34118.15
,2027-02-10,NEFT-CR-RATN0000088-CLG,486087.26
RATN27043799806,2027-02-12,NEFT-DR-RATN0000088-RAZORPAY SOFTWARE-RATN27043799806,-1807.76
RATN27049799812,2027-02-18,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27049799812,419437.40
RATN27055799839,2027-02-24,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,641127.17
RATN27062799840,2027-03-03,NEFT CR RATN27062799840 RAZORPAYSOFTWAREP,461819.76
RATN27071799871,2027-03-12,IMPS/RATN27071799871/RAZORPAYSOFTWAREP,577305.46
RATN27074799872,2027-03-15,RTGS-CR-RATN27074799872-RAZORPAY SOFTWARE PVT LTD,811.33
RATN27077799908,2027-03-18,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,545088.56
RATN27085799937,2027-03-26,NEFT-CR-RATN0000088-ARCLIGHT SYSTEMS-ACME RETAIL PRIVATE LIMITED-RATN27085799937,8166.11
RATN27085799951,2027-03-26,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27085799951,376999.92
