gstin,invoice_no,invoice_date,taxable_value,igst,cgst,sgst,irn,irn_generated_at,gstr1_filing_period,supplier_gstr3b_filed,itc_availability
33DROXI1231I1ZI,INV/26-27/7012,2027-03-28,7838.05,1410.85,0.00,0.00,cad4fc5b0e949dfe109dddd181963855694fbc7b4b6121650f38e60083dc1f6e,,,Y,Yes
29MUAXJ8480K1ZC,INV/26-27/7022,2027-03-24,23610.30,0.00,2124.93,2124.93,d775d0f87b3824ea63ae0ac07300d4027be1863d36dab32785b0515cdef6cd9c,,,Y,Yes
27VYHXM5454M1ZT,INV/26-27/7003,2027-01-11,22724.36,4090.39,0.00,0.00,084d56b8f881c71c00c182352ecbfdc05070e7934c28a7c5d3729478fb1544d3,,,Y,Yes
24EDWXO1109L1ZO,INV/26-27/7018,2027-02-23,16281.78,2930.73,0.00,0.00,,,,Y,No
27BWVXC5104D1Z9,INV/26-27/7021,2027-01-19,10193.92,1834.91,0.00,0.00,7dceac7dc758ee07c9a9dbe7697acc5d6f89846d3c965a054b262013ff3aa65a,,,Y,Yes
06GZJXL4618D1ZW,INV/26-27/7015,2027-02-19,6197.89,1115.63,0.00,0.00,fa4f5726b880a1dde8bb32de913c3fab7e419fd1b9239c894d7f8496baa8a8bb,,,Y,Yes
27RAOXR9042C1ZJ,INV/26-27/7007,2027-03-28,19130.81,3443.55,0.00,0.00,0f70242e825b5da31120a2aa3a82d49604bcb41cc087d08c4adb6c0e001484e8,,,Y,Yes
27UGKXL5383R1ZF,INV/26-27/7013,2027-03-14,12472.80,2245.11,0.00,0.00,,,,Y,No
07RYTXR6125L1ZQ,INV/26-27/7006,2027-02-09,13940.33,2509.26,0.00,0.00,707f45dfa7af4b1541a11a3db18678afb80382a1861f2bd3e51db6ae1ab7c657,,,Y,Yes
29KBCXP1127H1Z2,INV/26-27/7008,2027-03-21,25312.12,0.00,2278.10,2278.10,e8c610054ff0006e6842785b1846062afbc365224811a59270a90b44f8a3e82c,,,Y,Yes
07FHLXI1475W1ZT,INV/26-27/7014,2027-01-25,21905.16,3942.93,0.00,0.00,0952e2924dd9c1d663e1bd9c0e0d56522836bcba7713b8b715385386b984a060,,,Y,Yes
24FJVXZ9908R1Z1,INV/26-27/7004,2027-01-13,27342.24,4921.61,0.00,0.00,3418508023e7f4556c21f84bef1777062f720e7546c0e303f6640b2f8da3bea7,,,Y,Yes
27AEHXF8191D1Z1,INV/26-27/7010,2027-02-03,8450.95,1521.18,0.00,0.00,2bce2ab22ea9e2083fd09e155dfa13da2a7b3e00680ba188536557442ae39d6e,,,Y,Yes
27AIZXJ3467F1Z9,INV/26-27/7005,2027-03-03,741.57,133.49,0.00,0.00,7f0f14075be15cdde78c8ccf2f79ccbb99c8aee7293590a7721eb0aa8a81c898,,,Y,Yes
29VWJXK1529Y1ZD,INV/26-27/7002,2027-03-01,42683.06,0.00,3841.48,3841.48,,2027-03-01T09:15:00,2027-03,Y,No
24MFWXI8264S1ZI,INV/26-27/7019,2027-01-09,19055.11,3429.92,0.00,0.00,f44ab8343f56fa3d0b35eece0f8f110e41ff6993af8f8697f497c71df5dbf740,,,Y,Yes
06NMMXL0086O1ZR,INV/26-27/7016,2027-01-11,6301.22,1134.22,0.00,0.00,2cade391ff0fd02a4cdf3c50dffd40b78fd52244bd2e2d03fa377870e602a419,,,Y,Yes
06PGCXU3781M1ZZ,INV/26-27/7017,2027-03-15,11880.85,2138.56,0.00,0.00,,,,Y,No
33NPFXC6503F1ZP,INV/26-27/7020,2027-03-21,5376.01,967.69,0.00,0.00,af89e5d966030e625a8f85772b0ab945e9237d7dbf1d36bf8c15ef260967d802,,,Y,Yes
29VWJXK1529Y1ZD,INV/26-27/7000,2027-01-01,35837.17,0.00,3225.35,3225.35,e32ddedd04a0a03b2f40fd913a47b382072df16ac99bdcd5c75898af389ff730,2027-01-01T09:15:00,2027-01,N,Yes
33HHVXI7197F1Z6,INV/26-27/7023,2027-03-03,17677.92,3182.03,0.00,0.00,28c1303f68f42a9e1de089e09b16db0cf63c557437b2009a7ee3adc37b91e7bb,,,Y,Yes
07JMOXQ8660J1ZK,INV/26-27/7011,2027-02-15,18065.83,3251.85,0.00,0.00,0a72458758fd32bca180c545fac868c66632963801de571065b59bd6da2e1157,,,Y,Yes
33ZZXXW1334D1Z0,INV/26-27/7009,2027-01-23,13732.06,2471.78,0.00,0.00,698624b2b5522f99236b59c759ddb2d279d198d4a56cd77d4f01ad5559ff159f,,,N,Yes
