bank_reference,value_date,narration,amount
RATN27006789196,2027-01-06,NEFT CR RATN27006789196 RAZORPAY SOFTWARE PVT LTD,123219.72
RATN27013789224,2027-01-13,IMPS/RATN27013789224/RAZORPAY SOFTWARE,165399.22
RATN27015789229,2027-01-15,NEFT-CR-RATN0000088-CLG,-165399.22
RATN27022789236,2027-01-22,IMPS/RATN27022789236/RAZORPAY SOFTWARE,89071.74
RATN27032789257,2027-02-01,RTGS-CR-RATN27032789257-RAZORPAYSOFTWAREP,74496.38
,2027-02-03,RTGS-CR-RATN********-RAZORPAY SOFTWARE PVT LTD,101824.17
RATN27043789323,2027-02-12,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27043789323,59904.10
RATN27048789359,2027-02-17,RTGS-CR-RATN27048789359-RAZORPAY SOFTWARE,9932.53
RATN27056789383,2027-02-25,NEFT CR RATN27056789383 RAZORPAYSOFTWAREP,1948.89
RATN27062789420,2027-03-03,RTGS-CR-RATN27062789420-RAZORPAY SOFTWARE PVT LTD,66385.34
,2027-03-11,RTGS-CR-RATN27070789446-RAZORPA,39365.62
RATN27074789474,2027-03-15,CHG:NEFT OUTWARD RATN27074789474,-7056.93
,2027-03-18,NEFT-CR-RATN0000088-CLG,9920.34
RATN27084789538,2027-03-25,NEFT CR RATN27084789538 RAZORPAYSOFTWAREP,115193.39
RATN27085789540,2027-03-26,NEFT-DR-RATN0000088-VERTEX SUPPLY CO-RATN27085789540,-2512.20
RATN27095789561,2027-04-05,NEFT-CR-RATN0000088-RAZORP,131972.49
RATN27099789601,2027-04-09,NEFT CR RATN27099789601 RAZORPAY SOFTWARE,98190.46
RATN27104789630,2027-04-14,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27104789630,14960.34
RATN27111789648,2027-04-21,NEFT CR RATN27111789648 RAZORPAY SOFTWARE,60105.73
RATN27118789685,2027-04-28,NEFT-CR-RATN0000088-CLG,39328.07
RATN27127789709,2027-05-07,IMPS/RATN27127789709/RAZORPAY SOFTWARE PRIVATE LIMITED,38241.82
RATN27132789728,2027-05-12,NEFT CR RATN27132789728 RAZORPAY SOFTWARE PRIVATE LIMITED,86356.79
RATN27139789738,2027-05-19,RTGS-CR-RATN27139789738-RAZORPAYSOFTWAREP,107394.80
RATN27144789739,2027-05-24,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27144789739,17145.38
RATN27147789751,2027-05-27,RTGS-CR-RATN27147789751-RAZORPAY SOFTWARE PRIVATE LIMITED,56382.21
RATN27155789781,2027-06-04,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE,35441.36
,2027-06-10,NEFT-CR-RATN0000088-CLG,141863.08
RATN27165789840,2027-06-14,RTGS-CR-RATN27165789840-RAZORPAY SOFTWARE PVT LTD,1917.16
RATN27169789870,2027-06-18,IMPS/RATN27169789870/RAZORPAY SOFTWARE,42681.24
RATN27176789907,2027-06-25,NEFT CR RATN27176789907 RAZORPAY SOFTWARE PVT LTD,32433.53
RATN27183789914,2027-07-02,NEFT-CR-RATN0000088-RAZORPAYSOF,17262.02
RATN27189789944,2027-07-08,IMPS/RATN27189789944/NIMBUS LOGISTICS LLP,14423.69
RATN27189789976,2027-07-08,NEFT CR RATN27189789976 RAZORPAYSOFTWAREP,91176.54
RATN27196790012,2027-07-15,IMPS/RATN27196790012/RAZORPAY SOFTWARE PRIVATE LIMITED,27576.58
RATN27204790032,2027-07-23,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27204790032,36760.65
RATN27209790052,2027-07-28,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE,22881.30
,2027-08-05,RTGS-CR-RATN********-RAZORPAY SOFTWARE PVT LTD,39682.64
RATN27228790116,2027-08-16,NEFT CR RATN27228790116 RAZORPAY SOFTWARE PVT LTD,8929.17
RATN27231790120,2027-08-19,RTGS-CR-RATN27231790120-,153531.07
RATN27237790132,2027-08-25,RTGS-CR-RATN********-RAZORPAY SOFTWARE PVT LTD,35225.16
RATN27245790151,2027-09-02,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27245790151,9227.34
RATN27251790173,2027-09-08,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27251790173,109067.18
RATN27258790202,2027-09-15,IMPS/RATN27258790202/RAZORPAY SOFTWARE,44925.78
RATN27265790205,2027-09-22,RTGS-CR-RATN27265790205-RAZORPAY SOFTWARE,47983.21
RATN27272790230,2027-09-29,NEFT CR RATN27272790230 RAZORPAY SOFTWARE,37049.82
RATN27279790246,2027-10-06,RTGS-CR-RATN27279790246-RAZORPAYSOFTWAREP,154639.58
RATN27298790264,2027-10-25,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,81101.82
RATN27300790303,2027-10-27,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,28167.18
RATN27306790342,2027-11-02,NEFT-DR-RATN0000088-NIMBUS LOGISTICS LLP-RATN27306790342,-204.51
RATN27308790347,2027-11-04,NEFT CR RATN27308790347 RAZORPAY SOFTWARE PRIVATE LIMITED,4254.53
RATN27319790387,2027-11-15,RTGS-CR-RATN27319790387-SIXFOLD TRADING,4051.24
RATN27319790421,2027-11-15,NEFT CR RATN27319790421 RAZORPAY SOFTWARE PRIVATE LIMITED,48806.12
RATN27326790433,2027-11-22,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,29567.86
RATN27329790446,2027-11-25,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27329790446,25780.34
