order_id,invoice_no,gstin,amount,invoice_date
order_ASgeAqMz5aKDZI,INV/26-27/1001,,63099.00,2027-01-04
order_Adkf23E9QLBSDk,INV/26-27/1002,27EDBXF9517N1ZO,14299.00,2027-01-06
order_WIi1YxMWkvXhCh,INV/26-27/1003,,11849.00,2027-01-06
order_jWBPf76YRvmU6J,INV/26-27/1004,,2300.00,2027-01-06
order_oHKJjGgCb72UMQ,INV/26-27/1005,,43000.00,2027-01-08
order_aRETtBkpVoRsSj,INV/26-27/1006,,56049.00,2027-01-10
order_gu2vsiDweGGcaH,INV/26-27/1007,,56049.00,2027-01-10
order_B4DS3zAfJolWv9,INV/26-27/1008,,80149.00,2027-01-13
order_oaT8aF6Ysblc6i,INV/26-27/1009,29BNHXU3033M1Z0,7499.00,2027-01-17
order_FU09ko5m69JXhP,INV/26-27/1010,,3549.00,2027-01-18
order_SR48GJBqNEtABd,INV/26-27/1011,,21500.00,2027-01-20
order_R6clTjR7wmDj45,INV/26-27/1012,27UCAXW8337O1ZS,18599.00,2027-01-22
order_YxsOpCCWRSO9wm,INV/26-27/1013,07PYUXH2749V1ZB,39099.00,2027-01-25
order_9QR65ZMCiVB6QJ,INV/26-27/1014,,8749.00,2027-01-27
order_BqpXaeDoFnvwSw,INV/26-27/1015,,3949.00,2027-01-27
order_nZboVDvynyWSA5,INV/26-27/1016,,10145.00,2027-01-27
order_okRbOWWlm7XtiM,INV/26-27/1017,,3949.00,2027-01-27
order_2XLUsYYjyN4scv,INV/26-27/1018,,12800.00,2027-01-29
order_iT08pptbQpuViC,INV/26-27/1019,,9149.00,2027-01-29
order_O87izakMK5XwwZ,INV/26-27/1020,,58149.00,2027-01-30
order_8ytDyumOpDcSRD,INV/26-27/1021,,2548.00,2027-02-03
order_bESKsGN3sLbdeE,INV/26-27/1022,,19299.00,2027-02-03
order_vw2oFgUZWbJKO6,INV/26-27/1023,29BCUXW1212Q1Z7,2450.00,2027-02-05
order_3F7Z9QkkYlBABz,INV/26-27/1024,,16899.00,2027-02-07
order_BmKs1lHQIwSImN,INV/26-27/1025,,1598.00,2027-02-07
