gstin,invoice_no,invoice_date,taxable_value,igst,cgst,sgst,irn,irn_generated_at,gstr1_filing_period,supplier_gstr3b_filed,itc_availability
29RVZXM9443Z1ZM,INV/26-27/7005,2027-06-01,5714.87,0.00,514.34,514.34,fa5ecb0148e5eeb27ddced93ef4dbc46376e63a5e5456a6c94b3adae80388fc0,2027-06-01T09:15:00,2027-06,N,Yes
33TUOXT1725M1Z6,INV/26-27/7053,2027-10-16,25030.86,4505.56,0.00,0.00,5e14fbfb4de0db2191cfde172b106261dd524ad2640058a73d18af74f30b9efb,,,N,Yes
06BYIXK2665W1ZZ,INV/26-27/7042,2027-11-08,10067.94,1812.23,0.00,0.00,6eb9f6826316af3176a5e9c69e1cd3fc300aa887fa248ec12e89f3281b47260e,,,Y,Yes
33HTYXN8606H1ZH,INV/26-27/7018,2027-11-03,15196.75,2735.42,0.00,0.00,b3575a5a9cf4f975546515f29123903bffa47f921ff881ac54b8a5b6e2421ec9,,,Y,Yes
07PYFXS0974U1ZI,INV/26-27/7030,2027-08-26,10801.12,1944.21,0.00,0.00,,,,N,No
29VQDXY0594W1ZE,INV/26-27/7021,2027-08-03,7902.35,0.00,711.22,711.22,3cb3bfa2421a9b8d54938f9e2d39112da3e7b93cada84d091f589fa552306161,,,Y,Yes
24AAYXM9265J1ZD,INV/26-27/7012,2027-04-17,29125.93,5242.67,0.00,0.00,51d1bdfcb3a1a9cb285e65b3b895db6191db9b47182cf74b81350249b5cc4269,,,Y,Yes
06WPIXH1912O1ZR,INV/26-27/7016,2027-07-16,28073.52,5053.24,0.00,0.00,79814fd153d7c134509394c5c2bb383323f2c1ed6796cafc4ece4bf9271b0737,,,Y,Yes
29RVZXM9443Z1ZM,INV/26-27/7002,2027-03-01,8196.34,0.00,737.68,737.68,5a11300c658a97c6b93f74139ed3a193d266dc209f2244413f7976e23d2304f7,2027-03-01T09:15:00,2027-03,Y,Yes
29BBKXY3141Q1Z9,INV/26-27/7013,2027-01-12,1009.90,0.00,90.90,90.90,d61f7faabaafbe0f060145e2791e01918e3c8e9e59b14a45b35001994f4ce7ea,,,Y,Yes
