settlement_id,reported_reference,reported_amount,initiated_at,status
setl_kIddTyRKVWiSBD,RATN27006789196,123219.72,2027-01-06,processed
setl_GrW3sdkJwpVrM0,RATN27013789224,165399.22,2027-01-13,processed
setl_31eZ4IGwsJRgsj,RATN27022789236,89071.74,2027-01-20,processed
setl_pzYnh1xbxyyCi9,RATN27032789257,74496.38,2027-01-27,processed
setl_aLiQVCZ7pdgG5z,,101824.17,2027-02-03,processed
setl_rfR9Ol68zgCSMu,RATN27043789323,59904.10,2027-02-10,processed
setl_V3pUyhY4OapKua,RATN27048789359,9932.53,2027-02-17,processed
setl_pbOqEILLPKXhBQ,RATN27056789383,1948.89,2027-02-24,processed
setl_HSpVqifr9fGAlS,RATN27062789420,66385.34,2027-03-03,processed
setl_jg6suMqTqomPMl,,39365.62,2027-03-10,processed
setl_mE7QUyDLdsnz7y,,9920.34,2027-03-17,processed
setl_5CbGaajnLw9XBQ,RATN27084789538,115193.39,2027-03-24,processed
setl_lqzJueriEOQk41,RATN27095789561,131972.49,2027-03-31,processed
setl_PTGrEAel5p7LB4,RATN27099789601,98190.46,2027-04-07,processed
setl_HCaVfYBEnDF1Ln,RATN27104789630,14960.34,2027-04-14,processed
setl_Oa8SUMQJ7QaaZU,RATN27111789648,60105.73,2027-04-21,processed
setl_91sKhv5NtaBCxG,RATN27118789685,39328.07,2027-04-28,processed
setl_KKLE9ro3jfJZmB,RATN27127789709,38241.82,2027-05-05,processed
setl_fHCoPjWSx9Z52y,RATN27132789728,86356.79,2027-05-12,processed
setl_na2zM60WxsP8gv,RATN27139789738,107394.80,2027-05-19,processed
setl_XGh0jjGRrUv75c,RATN27147789751,56382.21,2027-05-26,processed
setl_BzaBteBxtyDXvw,RATN27155789781,35441.36,2027-06-02,processed
setl_XnSnvPxIQ7KffN,,141863.08,2027-06-09,processed
setl_8E4oPZjW34wG0c,RATN27169789870,42681.24,2027-06-16,processed
setl_gcffdRCrAatgqh,RATN27176789907,32433.53,2027-06-23,processed
setl_WvdRavWrTrZP0z,RATN27183789914,17262.02,2027-06-30,processed
setl_1eqUraEwjPjpyq,RATN27189789976,91176.54,2027-07-07,processed
setl_uwo6Qxv7GNXKUz,RATN27196790012,27576.58,2027-07-14,processed
setl_1MY7W3JcS69zIA,RATN27204790032,36760.65,2027-07-21,processed
setl_klD15BMlfWfsDZ,RATN27209790052,22881.30,2027-07-28,processed
setl_2ypcCfeHlWNQ77,,39682.64,2027-08-04,processed
setl_HMo4M0fbK9IWYF,RATN27228790116,8929.17,2027-08-11,processed
setl_ki0uBwekx2k91v,RATN27231790120,153531.07,2027-08-18,processed
setl_xYuq28Jj4EjLFs,RATN27237790132,35225.16,2027-08-25,processed
setl_sKDty3LByiPHX3,RATN27245790151,9227.34,2027-09-01,processed
setl_vOZ50b82G06aYV,RATN27251790173,109067.18,2027-09-08,processed
setl_ktYHk6bRwWgDt9,RATN27258790202,44925.78,2027-09-15,processed
setl_iLjJ2Yj83I2klz,RATN27265790205,47983.21,2027-09-22,processed
setl_9fMu5yqmgIt8Jz,RATN27272790230,37049.82,2027-09-29,processed
setl_wT52Ij4PY2CfVq,RATN27279790246,154639.58,2027-10-06,processed
setl_QKI46CroK36UOC,RATN27298790264,81101.82,2027-10-20,processed
setl_mF3mcmUq2dHtxT,RATN27300790303,28167.18,2027-10-27,processed
setl_OJuR70LLP4se7f,RATN27308790347,4254.53,2027-11-03,processed
setl_f7kX3leajcF4ej,RATN27319790421,48806.12,2027-11-10,processed
setl_DrqBXAGvpqVPef,RATN27326790433,29567.86,2027-11-17,processed
setl_14oky8F3CNWUZv,RATN27329790446,25780.34,2027-11-24,processed
setl_wevqZSg1UbAk2S,RATN27336790479,12886.52,2027-12-01,processed
setl_SbWH9YEHD8SjPj,RATN27342790493,70538.38,2027-12-08,processed
setl_JRE09sjsS14xqH,RATN27350790524,275129.10,2027-12-15,processed
setl_wCnRbVO57C7y6T,,18060.46,2027-12-22,processed
setl_gVnM1yQbqDRCWF,RATN28003790572,8503.45,2027-12-29,processed
