bank_reference,value_date,narration,amount
RATN27015532997,2027-01-15,IMPS/RATN27015532997/RAZORPAY SOFTWARE PVT LTD,137199.37
RATN27020533035,2027-01-20,CHG:NEFT OUTWARD RATN27020533035,-4487.95
RATN27020533060,2027-01-20,RTGS-CR-RATN27020533060-RAZORPAYSOFTWAREP,116246.28
RATN27028533081,2027-01-28,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,52592.68
RATN27034533119,2027-02-03,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27034533119,65651.69
,2027-02-10,RTGS-CR-RATN********-RAZORPAY SOFTWARE PVT LTD,126242.04
RATN27050533185,2027-02-19,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27050533185,57627.60
RATN27055533199,2027-02-24,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE,38061.80
RATN27060533221,2027-03-01,NEFT CR RATN27060533221 RAZORPAY SOFTWARE PVT LTD,27408.26
RATN27062533259,2027-03-03,IMPS/RATN27062533259/RAZORPAY SOFTWARE PVT LTD,107737.88
RATN27069533265,2027-03-10,IMPS/RATN27069533265/RAZORPAYSOFTWAREP,161627.95
,2027-03-18,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN********,81740.40
RATN27083533295,2027-03-24,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,1729.21
RATN27090533321,2027-03-31,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,106254.16
,2027-04-08,IMPS/RATN********/RAZORPAY SOFTWARE,232716.12
RATN27104533363,2027-04-14,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,84766.82
RATN27109533371,2027-04-19,NEFT-DR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-RATN27109533371,-84766.82
,2027-04-22,NEFT-CR-RATN0000088-RAZORPAY ,81621.16
RATN27120533412,2027-04-30,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27120533412,98047.13
RATN27127533429,2027-05-07,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,64592.52
RATN27132533442,2027-05-12,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE,139676.31
RATN27140533464,2027-05-20,IMPS/RATN********/RAZORPAYSOFTWAREP,186284.19
RATN27146533483,2027-05-26,NEFT CR RATN27146533483 RAZORPAY SOFTWARE PVT LTD,82693.25
RATN27153533493,2027-06-02,NEFT CR RATN27153533493 RAZORPAY SOFTWARE PVT LTD,53356.15
RATN27159533532,2027-06-08,NEFT CR RATN27159533532 RAZORPAYSOFTWAREP,23903.87
RATN27160533568,2027-06-09,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27160533568,106149.09
RATN27167533599,2027-06-16,IMPS/RATN27167533599/RAZORPAYSOFTWAREP,42292.57
RATN27174533631,2027-06-23,NEFT CR RATN27174533631 RAZORPAY SOFTWARE PRIVATE LIMITED,42423.60
RATN27182533655,2027-07-01,RTGS-CR-RATN27182533655-RAZORPAY ,68991.28
RATN27188533694,2027-07-07,IMPS/RATN27188533694/RAZORPAY SOFTWARE PVT LTD,55458.54
,2027-07-14,NEFT CR RATN27195533717 RAZ,71302.73
RATN27204533751,2027-07-23,NEFT-CR-RATN0000088-CLG,12005.81
RATN27211533790,2027-07-30,RTGS-CR-RATN27211533790-RAZORPAY SOFTWARE,111705.40
RATN27217533821,2027-08-05,NEFT CR RATN27217533821 RAZORPAYSOFTWAREP,32000.21
RATN27224533838,2027-08-12,NEFT CR RATN27224533838 RAZORPAY SOFTWARE,14241.16
