order_id,invoice_no,gstin,amount,invoice_date
order_NntBT7vL50YNTc,INV/26-27/1001,,86099.00,2027-01-05
order_HgcaX0aFi1xGWB,INV/26-27/1002,29ECFXK6626Z1ZT,2098.00,2027-01-07
order_VWLv80nrBbsuvk,INV/26-27/1003,,14349.00,2027-01-09
order_pGA4yXJ3JMYdYi,INV/26-27/1004,,11949.00,2027-01-09
order_qZj4cK6oaiV25R,INV/26-27/1005,,14349.00,2027-01-09
order_OduyeWUvumRtSL,INV/26-27/1006,33XYLXK1731U1ZS,12200.00,2027-01-11
order_LCUUMrLDKO9pCb,INV/26-27/1007,,82000.00,2027-01-13
order_dTJl5IBimoWBhc,INV/26-27/1008,,3950.00,2027-01-14
order_FUWB7kdsDSxxUm,INV/26-27/1009,,10199.00,2027-01-15
order_b4K2bEJ4kVnc5S,INV/26-27/1010,,11099.00,2027-01-16
order_0rwSrNBhljs52e,INV/26-27/1011,,4399.00,2027-01-17
order_d2AdiUDii2Z8Ot,INV/26-27/1012,,4200.00,2027-01-17
order_pS38qdSeK1Adkp,INV/26-27/1013,,4200.00,2027-01-17
order_HAoOE9HMXrZx60,INV/26-27/1014,,7599.00,2027-01-20
order_7vgSkFMztY07yT,INV/26-27/1015,,34049.00,2027-01-22
order_kavkqr8DwxLqsB,INV/26-27/1016,,350.00,2027-01-24
order_GwExqURA2TKqW9,INV/26-27/1017,,16599.00,2027-01-26
order_yAAqkSakPri44U,INV/26-27/1018,,12900.00,2027-01-30
order_tbuMT8rSjujckg,INV/26-27/1019,,49599.00,2027-02-01
order_BMR6j198gBviby,INV/26-27/1020,,7350.00,2027-02-03
order_KJuj9wvYyV8M8H,INV/26-27/1021,33YUZXR8548D1ZS,6849.00,2027-02-03
order_T02t7hluODvZIG,INV/26-27/1022,,96149.00,2027-02-04
order_RKdHw1prrB6722,INV/26-27/1023,,300.00,2027-02-05
order_ztwJJLOdI2Kzag,INV/26-27/1024,27YSAXL6732T1ZX,18649.00,2027-02-06
order_JgF2HY2cNapaUx,INV/26-27/1025,,5999.00,2027-02-14
order_RWutmtLc78rIwQ,INV/26-27/1026,,9900.00,2027-02-14
order_iPITkM3zpEnyTe,INV/26-27/1027,,43649.00,2027-02-15
order_bNtHT8yUX995h5,INV/26-27/1028,33GFAXM8582S1Z2,32149.00,2027-02-16
order_NRiwYl9VXu5GA8,INV/26-27/1029,,10099.00,2027-02-22
order_nymc7gb1A0zJQc,INV/26-27/1030,,6750.00,2027-02-22
order_AyAfmqnIvF5uWZ,INV/26-27/1031,,9400.00,2027-02-24
order_EsU2PQTDXPTvZr,INV/26-27/1032,,1799.00,2027-02-27
order_Nr6lD25RRagGsq,INV/26-27/1033,33VLZXL7408F1ZQ,94149.00,2027-02-28
order_qJBaVnionJ583a,INV/26-27/1034,,3500.00,2027-02-28
order_6tKkYJoz5ko38N,INV/26-27/1035,33SBPXU1177E1ZJ,2997.00,2027-03-02
order_Lt0OwwT1oD25ig,INV/26-27/1036,,92099.00,2027-03-03
order_fyd9s5QAelZDzV,INV/26-27/1037,,70099.00,2027-03-07
order_cgMYkoJzsn3F1P,INV/26-27/1038,,90049.00,2027-03-13
order_7HTCdTzNG4BdT5,INV/26-27/1039,,5997.00,2027-03-14
order_K64ek8uIn1ItnW,INV/26-27/1040,,26099.00,2027-03-14
order_zc4puqi9l9XCRh,INV/26-27/1041,,17000.00,2027-03-14
order_01TmGQmoijYqzD,INV/26-27/1042,,19549.00,2027-03-15
order_HQuc7kFsCIOYuq,INV/26-27/1043,,1150.00,2027-03-16
order_iId8idqv1mOMxa,INV/26-27/1044,,11249.00,2027-03-17
order_leiV4EhpdKxhEn,INV/26-27/1045,,3649.00,2027-03-22
order_mKFGLeZ1Topnez,INV/26-27/1046,,2446.00,2027-03-22
order_F2OMTQ3K37klbR,INV/26-27/1047,,9499.03,2027-03-23
order_aP622Dgn9HbfsD,INV/26-27/1048,,9499.00,2027-03-23
