gstin,invoice_no,invoice_date,taxable_value,igst,cgst,sgst,irn,irn_generated_at,gstr1_filing_period,supplier_gstr3b_filed,itc_availability
24XRFXO0280E1Z2,INV/26-27/7122,2027-12-24,15414.07,2774.54,0.00,0.00,e3eccec92e84f2c1a56fd09a59117fc0f7cd9eb216dd4ac4d6ce3c8b4f0bbac5,,,Y,Yes
33VTIXY1069R1ZS,INV/26-27/7146,2027-06-20,23428.00,4217.04,0.00,0.00,443171e526a7d37a0b618d10264499b7adbe6c327342baefb0cd21b29cc6cdce,,,Y,Yes
24SDTXE8959O1ZL,INV/26-27/7091,2027-05-11,8839.69,1591.15,0.00,0.00,281986b73fee3a0675452040103dad153e090cc086f15c0f60137fc23d7b9de0,,,Y,Yes
06ZEGXZ1181X1Z8,INV/26-27/7056,2027-06-02,10385.39,1869.38,0.00,0.00,3716c625cbe540c766f5c061d73cfea0f1460541ee40a8a8e0ec248f36d8de56,,,Y,Yes
29MVIXP7093N1ZR,INV/26-27/7048,2027-01-12,15844.63,0.00,1426.02,1426.02,81e34fbabe2fad53e0c723cd3c36b06bd7b78838bed4d9bb61f9fc34cbc17988,,,Y,Yes
24VYMXR8139N1ZJ,INV/26-27/7097,2027-03-10,24193.72,4354.87,0.00,0.00,71bad69452eaa57ba632b4ee1fee8219079002b851f7bc85c447e331119e56b3,,,Y,Yes
33YEPXB8044N1Z3,INV/26-27/7085,2027-06-15,26215.99,4718.88,0.00,0.00,ea38d2de03e661e5c3d36cc04afe41f0d0658d06e95603990f971284078fb994,,,Y,Yes
24YJHXV3133W1Z9,INV/26-27/7139,2027-04-10,12576.43,2263.76,0.00,0.00,ddd2aa69f580cf0d2e53f2b3a7d17a34a0a0d4386990a012bc4657a0e1967388,,,N,Yes
06DWYXR5985J1ZR,INV/26-27/7079,2027-09-24,21738.33,3912.90,0.00,0.00,,,,Y,No
24KPZXU0324T1Z5,INV/26-27/7069,2027-11-30,13726.00,2470.68,0.00,0.00,288bdb9de4ee224049e98f97987697fb167edd20bf69346aeaf868f415a45f17,,,Y,Yes
24YHDXG6484R1ZN,INV/26-27/7027,2027-07-30,14647.91,2636.63,0.00,0.00,90ce747dd983c88b25734163dafb4052d038027dcc556c0be88175cb0c130cea,,,Y,Yes
29VRUXT6475C1ZX,INV/26-27/7012,2027-06-19,2952.22,0.00,265.70,265.70,3dbce3438675619e91168009049b621c12a5213ee4911d8617120f872f543d88,,,Y,Yes
29NZVXR9381Y1ZE,INV/26-27/7041,2027-03-16,18659.03,0.00,1679.32,1679.32,d467eeada8d9738e76c6bb1f5a4c3da89b4a673439950e406ceae25a06d35283,,,Y,Yes
29JILXZ8775F1ZH,INV/26-27/7130,2027-09-11,19065.33,0.00,1715.88,1715.88,3cba938065a979b70b7af85e3643b68078dfe6c8fd822c332df5a6bf0b9d92ec,,,N,Yes
24NFGXI7150K1ZM,INV/26-27/7158,2027-03-27,722.40,130.04,0.00,0.00,fc0c5e78835cc0102bf7ce3f816615ecedba41cc5205cbd4c6b717a57ece943d,,,Y,Yes
33PMGXM8917V1Z7,INV/26-27/7015,2027-02-12,26912.82,4844.31,0.00,0.00,e0262cdbcfa1ca44bc6390262bf49ba3c0c7d1b04d454185c3da640fdaaab2e3,,,Y,Yes
06RBSXP0007D1Z2,INV/26-27/7068,2027-08-05,7396.11,1331.30,0.00,0.00,65716ce3cb277d9d9828b9fce5e6f51efc0249d1caab5cd0829cb31df3994a92,,,Y,Yes
07CXJXL6401B1ZD,INV/26-27/7102,2027-10-02,25239.10,4543.04,0.00,0.00,96a1d078b62858e75f576b4f2bceb61a7230130afea8ab97b1ed73e1bbc599bc,,,N,Yes
07FJIXK5419C1ZU,INV/26-27/7138,2027-04-28,20444.68,3680.05,0.00,0.00,d0369bcff7ef4800fc512df7f20f91c24bf7d43d4a8dbecd97a6e8041dcd3b36,,,N,Yes
29LJIXI7918F1Z6,INV/26-27/7007,2027-08-01,3740.12,0.00,336.62,336.62,,2027-08-01T09:15:00,2027-08,Y,No
33XVBXB2246I1Z1,INV/26-27/7124,2027-07-19,16458.07,2962.46,0.00,0.00,fd6ad1f3c67593772aca2529eb92a9de4f5c36dd3fbeba6f1225464d1c4d8a2b,,,Y,Yes
29MHPXU7323U1Z5,INV/26-27/7052,2027-02-21,27861.96,0.00,2507.58,2507.58,c42b04421ca68f9de98f59a718c7c5f766a472925afad5536121a06f8da58709,,,Y,Yes
