settlement_id,reported_reference,reported_amount,initiated_at,status
setl_hoJUW2qogiwYQP,RATN27015532997,137199.37,2027-01-13,processed
setl_aIOUBqrTw16Cc4,RATN27020533060,116246.28,2027-01-20,processed
setl_bZQ2U93wGUMh6H,RATN27028533081,52592.68,2027-01-27,processed
setl_TyvaYS05Ah9YSy,RATN27034533119,65651.69,2027-02-03,processed
setl_QY74zc8c5Yd8uq,,126242.04,2027-02-10,processed
setl_NqenDszIXaknUx,RATN27050533185,57627.60,2027-02-17,processed
setl_WuC1FUPup7Znjg,RATN27055533199,38061.80,2027-02-24,processed
setl_WfaLMS1WxeT6Bk,RATN27062533259,107737.88,2027-03-03,processed
setl_e09kzlmxzPhJbb,RATN27069533265,161627.95,2027-03-10,processed
setl_ZhetsFtKXQ3cTs,,81740.40,2027-03-17,processed
setl_Zx4McMLpsnoeiB,RATN27083533295,1729.21,2027-03-24,processed
setl_H4t95JqA6eWUmT,RATN27090533321,106254.16,2027-03-31,processed
setl_PPYo98aJtNnW9o,,232716.12,2027-04-07,processed
setl_jc6qyXsPiAbYZx,RATN27104533363,84766.82,2027-04-14,processed
setl_iiQ2vNqIXnxxGg,,81621.16,2027-04-21,processed
setl_0l35sjEcxs1xn2,RATN27120533412,98047.13,2027-04-28,processed
setl_fucLLndvFIA5Zd,RATN27127533429,64592.52,2027-05-05,processed
setl_0Tkdqo0VN40FvP,RATN27132533442,139676.31,2027-05-12,processed
setl_L23ySM0H1IAtDK,RATN27140533464,186284.19,2027-05-19,processed
setl_Fr1uvWeh4QDQMH,RATN27146533483,82693.25,2027-05-26,processed
setl_Id9kWzStEBWVxg,RATN27153533493,53356.15,2027-06-02,processed
setl_a88dZP4ZxbLLH9,RATN27160533568,106149.09,2027-06-09,processed
setl_l2Lzjbi8MZTpJ9,RATN27167533599,42292.57,2027-06-16,processed
setl_xbPfRFJrGtMex3,RATN27174533631,42423.60,2027-06-23,processed
setl_OpadIyVH1GQ8ev,RATN27182533655,68991.28,2027-06-30,processed
setl_624du00ukg5xmA,RATN27188533694,55458.54,2027-07-07,processed
setl_hAtwtns3LYTuWQ,,71302.73,2027-07-14,processed
setl_ApReN1Ji9gfnYO,RATN27204533751,12005.81,2027-07-21,processed
setl_TYVMRUKFWXqwqk,RATN27211533790,111705.40,2027-07-28,processed
setl_cVjD1MW5VrXfUl,RATN27217533821,32000.21,2027-08-04,processed
setl_b1LQ6EKR9VtbKg,RATN27224533838,14241.16,2027-08-11,processed
setl_CoxOixQv0RUzFM,RATN27230533879,75350.13,2027-08-18,processed
setl_Atpvi5eK3PTAei,RATN27237533919,36830.68,2027-08-25,processed
setl_IrPTEfMFHJFigd,RATN27244533943,46324.31,2027-09-01,processed
setl_HqJTR2lUHGNCeR,RATN27251533982,59996.86,2027-09-08,processed
setl_FvZzwnkOJbNyn1,RATN27259534017,18763.58,2027-09-15,processed
setl_NTzVkll8izplqy,,28578.67,2027-09-22,processed
setl_jfdKoxS55HJR09,RATN27273534051,92225.91,2027-09-29,processed
setl_11crkykCu6cDuG,RATN27280534059,54817.27,2027-10-06,processed
setl_JzPOu5zXfOzoSq,RATN27288534076,19088.71,2027-10-13,processed
setl_nUPMgcqb9EhYzj,RATN27293534098,42336.61,2027-10-20,processed
setl_JDKA27K2Vnuo83,RATN27301534136,85019.74,2027-10-27,processed
setl_Xt55AbdDrJjaei,RATN27307534143,103394.89,2027-11-03,processed
setl_oHoVgzIGMnG7FQ,RATN27314534153,64316.72,2027-11-10,processed
setl_W1eb7Z4EOoPNMh,RATN27326534154,119277.69,2027-11-17,processed
setl_wqSW57kXEIUWue,RATN27329534179,60901.35,2027-11-24,processed
setl_SEK9pJZT5k0fvL,RATN27336534243,8972.74,2027-12-01,processed
setl_na255LR2rGjtwu,RATN27343534271,165939.19,2027-12-08,processed
setl_AjlenYssrGsL7S,RATN27351534308,18180.20,2027-12-15,processed
setl_T2dN02d13bjo67,RATN27361534340,27387.04,2027-12-22,processed
setl_YG5jHfomaOAUIS,RATN28003534366,28018.77,2027-12-29,processed
