settlement_id,reported_reference,reported_amount,initiated_at,status
setl_epAm0P3X3MmPcO,RATN27006471700,29044.96,2027-01-06,processed
setl_g4GM2VGx7CxldF,RATN27014471746,309953.42,2027-01-13,processed
setl_MAYOKkPvoMF5vg,RATN27020471824,60038.59,2027-01-20,processed
setl_ia4MYavXtpRzvi,RATN27027471842,54385.55,2027-01-27,processed
setl_ARk46BBmvwYmnN,RATN27035471892,161495.07,2027-02-03,processed
setl_EcnQt3as1Sww58,RATN27043471907,355325.74,2027-02-10,processed
setl_CnEmwtaiO4o9Tn,RATN27048471912,152767.91,2027-02-17,processed
setl_2eFwKhCYp5C0M6,RATN27055471934,235450.05,2027-02-24,processed
setl_A0ElUUsFtIgoLg,RATN27062471959,147104.43,2027-03-03,processed
setl_OJeaXiqNz44Pfq,,25498.79,2027-03-10,processed
setl_dXiIg3Pz0bMmwS,RATN27076472041,280382.26,2027-03-17,processed
setl_zsC9Vuo2H18tUo,RATN27084472074,82420.41,2027-03-24,processed
