bank_reference,value_date,narration,amount
RATN27008154476,2027-01-08,IMPS/RATN27008154476/RAZORPAYSOFTWAREP,19929.38
RATN27014154492,2027-01-14,NEFT CR RATN27014154492 RAZORPAY SOFTWARE,444933.06
RATN27018154506,2027-01-18,RTGS-CR-RATN27018154506-VERTEX S,11618.23
RATN27018154538,2027-01-18,NEFT-CR-RATN0000088-NIMBUS LOGISTICS LLP,38877.99
RATN27020154541,2027-01-20,NEFT CR RATN27020154541 RAZORPAYSOFTWAREP,196367.67
RATN27025154576,2027-01-25,IMPS/RATN27025154576/ARCLIGHT SYSTEMS,13464.80
RATN27027154586,2027-01-27,NEFT CR RATN27027154586 RAZORPAY SOFTWARE,222467.59
RATN27039154619,2027-02-08,RTGS-CR-RATN27039154619-RAZORPAYSOFTWAREP,112915.90
RATN27042154658,2027-02-11,NEFT-CR-RATN0000088-CLG,465986.43
RATN27046154672,2027-02-15,NEFT-DR-RATN0000088-NIMBUS LOGISTICS LLP-RATN27046154672,-7055.18
RATN27046154682,2027-02-15,NEFT RET RATN27046154682 - ACCOUNT CLOSED,-465986.43
,2027-02-17,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN********,437525.68
RATN27054154719,2027-02-23,NEFT-DR-RATN0000088-ARCLIGHT SYSTEMS-RATN27054154719,-2464.54
RATN27056154739,2027-02-25,NEFT CR RATN27056154739 RAZORPAYSOFTWAREP,370321.62
RATN27062154774,2027-03-03,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,380956.96
RATN27064154800,2027-03-05,NEFT CR RATN27064154800 RAZORPAY SOFTWARE,25230.59
RATN27071154813,2027-03-12,RTGS-CR-RATN27071154813-RAZORPAY SOFTWARE,268351.64
RATN27078154820,2027-03-19,RTGS-CR-RATN27078154820-RAZORPAY SOFTWARE,335477.45
RATN27088154837,2027-03-29,CHG:NEFT OUTWARD RATN27088154837,-2412.16
RATN27088154851,2027-03-29,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27088154851,174478.26
