gstin,invoice_no,invoice_date,taxable_value,igst,cgst,sgst,irn,irn_generated_at,gstr1_filing_period,supplier_gstr3b_filed,itc_availability
06JKTXF6828M1ZS,INV/26-27/7008,2027-01-21,20382.50,3668.85,0.00,0.00,6dbdc56779d0fd2985b6702e1f002c81740b6b71a7eaa4195e5799436cf38bb7,,,Y,Yes
24OLOXW9072N1Z7,INV/26-27/7005,2027-01-18,22523.85,4054.30,0.00,0.00,8c0f680968f48e97f3e4c5c83a85f29f748e33cd0c06d5e6b82f1cd93b84c433,,,Y,Yes
29YKOXT4925N1Z0,INV/26-27/7000,2027-01-01,17817.20,0.00,1603.55,1603.55,90b1b9ec9f3d65089b70a67c431674f7e48849f643d15f4f1874e53354ad3df1,2027-01-01T09:15:00,2027-01,N,Yes
29QWLXK7591X1Z0,INV/26-27/7017,2027-01-21,14982.57,0.00,1348.44,1348.44,91a448f4085166b756d9a86840f5a78048caac4d6417e534ed9a15a0b7d805a4,,,Y,Yes
24XJFXP1376A1ZI,INV/26-27/7016,2027-02-01,26262.54,4727.26,0.00,0.00,b5770cfd78284c618e9022f1320ffdfcd53b9e70e132479d9371d803c7daec7c,,,N,Yes
29YKOXT4925N1Z0,INV/26-27/7002,2027-03-01,25131.72,0.00,2261.86,2261.86,,2027-03-01T09:15:00,2027-03,Y,No
29HEQXP6849Y1ZZ,INV/26-27/7012,2027-02-13,23128.98,0.00,2081.61,2081.61,8dfcc1f54b243467ad015f81f2377c6856671b31ab6907ca1260c78e488be0b6,,,Y,Yes
24HDYXD2467P1Z7,INV/26-27/7020,2027-03-08,21680.67,3902.53,0.00,0.00,abf12b7f757fd596c37eea927796a13ffd00006fd02cfa08f6c3c090d6006c92,,,Y,Yes
24VJTXQ0523R1ZJ,INV/26-27/7003,2027-01-18,26761.62,4817.10,0.00,0.00,aeb42471eb4dbda7e67390f500f140305c9267263221b9b393a573b47289cf73,,,Y,Yes
07HTLXS3033G1ZZ,INV/26-27/7011,2027-02-22,10244.23,1843.97,0.00,0.00,fa30ba0c7ed8f640a37980d62cd70553400200c96009fd645ecf51c2b09e75c5,,,N,Yes
29FRKXJ6807N1ZI,INV/26-27/7013,2027-01-28,16423.84,0.00,1478.15,1478.15,bd9a8c5428de4bf23584ba51d337df2d29c8c4c1c76d0617bda1dc6461cee3c1,,,Y,Yes
29YVNXD8520C1ZJ,INV/26-27/7006,2027-03-13,19601.50,0.00,1764.14,1764.14,a5dd06be01e3f9a3fa1b772559c8b7c2b6d1b282874e70db37b32ff9bbd7d29d,,,Y,Yes
07AMIXH0804W1Z4,INV/26-27/7021,2027-02-03,13697.34,2465.53,0.00,0.00,8d84fdfc5da54c430400cedc6fde11a1a23ee85920cdcf41866bf1c61ba634c3,,,Y,Yes
33IKKXP8082A1ZI,INV/26-27/7019,2027-01-11,21923.39,3946.22,0.00,0.00,4edb8673e9fb5fdaa0100c6d6a731b7b741d9fefe5d8bdc79ad9823e86512b4c,,,N,Yes
07NTIXU6203O1ZB,INV/26-27/7018,2027-03-22,8318.46,1497.33,0.00,0.00,a38191bc10c56f0043bb657b822892b0050158796bb35641f0504642c7930cf6,,,N,Yes
27TBHXS8129X1ZC,INV/26-27/7009,2027-01-18,5626.41,1012.76,0.00,0.00,7ca80015a70edb5a2ace85096500e449487560e0cbaa1bdf73149ca8c1b9ebc0,,,Y,Yes
27OKGXD3472X1ZI,INV/26-27/7010,2027-03-28,29663.38,5339.41,0.00,0.00,cfd13238f9791bc227a4f6819e88023b401570c39e979bf870b84c85feadc89e,,,Y,Yes
27OGOXK3195E1ZB,INV/26-27/7014,2027-01-04,2413.27,434.39,0.00,0.00,d562b06849485bb4e786678ae5c0749b71ad06f7259823a811b8dafab7c9bb5c,,,Y,Yes
27OYCXA9810F1ZW,INV/26-27/7004,2027-03-31,4452.18,801.40,0.00,0.00,ff99e7d9e1091600cf1161a9427acc6b53b3d43f047721186438c378678626f0,,,Y,Yes
29PPDXU2950L1ZG,INV/26-27/7015,2027-01-11,10848.54,0.00,976.37,976.37,,,,Y,No
24XWAXO2817A1Z2,INV/26-27/7022,2027-01-30,29845.32,5372.16,0.00,0.00,bbcf709e9b9970f1972a52d05c2ac9460076eb0e260e0dd7ee3459d0b008a397,,,N,Yes
07PZUXH9747N1ZD,INV/26-27/7023,2027-03-15,9024.53,1624.42,0.00,0.00,a058615e852cf905bd778b4aea5c9a160a3f5397db64c64422ec274034d8dc5c,,,Y,Yes
07YYDXL3603J1ZG,INV/26-27/7007,2027-02-27,8581.11,1544.60,0.00,0.00,45b3e439aeb957d6a465db353232e306d070397d3be023f839c6e2014c59045d,,,Y,Yes
