settlement_id,reported_reference,reported_amount,initiated_at,status
setl_aZ1GSx4OxNpqF6,RATN27008154476,19929.38,2027-01-06,processed
setl_ShHi1LsTMlQBmr,RATN27014154492,444933.06,2027-01-13,processed
setl_sOyL7vw1eQB2UD,RATN27020154541,196367.67,2027-01-20,processed
setl_iX5EgtuYhoRz1V,RATN27027154586,222467.59,2027-01-27,processed
setl_anXNKD2KKkzTTe,RATN27039154619,112836.76,2027-02-03,processed
setl_Gy2ib3zu6G5QG7,RATN27042154658,465986.43,2027-02-10,processed
setl_tOQ8FwN3z9lJlJ,,437525.68,2027-02-17,processed
setl_6UgOpu01zXz2cV,RATN27056154739,370321.62,2027-02-24,processed
setl_Rz5sy4u360Pc3Z,RATN27062154774,380956.96,2027-03-03,processed
setl_wrvLwrSptynErY,RATN27071154813,268351.64,2027-03-10,processed
setl_Am8h82A0Am2Dwy,RATN27078154820,335477.45,2027-03-17,processed
setl_O4BmJJfuRRAnGN,RATN27088154851,174478.26,2027-03-24,processed
