bank_reference,value_date,narration,amount
RATN27006580634,2027-01-06,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27006580634,48005.60
RATN27015580661,2027-01-15,IMPS/RATN27015580661/RAZORPAY SO,178044.25
RATN27020580678,2027-01-20,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27020580678,458052.03
RATN27027580699,2027-01-27,NEFT-CR-RATN0000088-TOLLGATE MEDIA PVT LTD,15308.27
RATN27027580713,2027-01-27,NEFT CR RATN27027580713 RAZORPAY SOFTWARE,259017.26
RATN27028580745,2027-01-28,CHG:NEFT OUTWARD RATN27028580745,-5890.14
RATN27035580780,2027-02-04,RTGS-CR-RATN27035580780-RAZORPAY SOFTWARE PVT LTD,734131.06
,2027-02-11,NEFT CR RATN27042580803 RAZORPA,214190.96
RATN27046580843,2027-02-15,NEFT-DR-RATN0000088-TOLLGATE MEDIA PVT LTD-RATN27046580843,-214190.96
RATN27048580868,2027-02-17,NEFT CR RATN27048580868 RAZORPAYSOFTWAREP,332351.32
RATN27053580879,2027-02-22,IMPS/RATN27053580879/NIMBUS LOGISTICS LLP,20654.17
RATN27056580916,2027-02-25,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27056580916,2726.40
RATN27056580929,2027-02-25,RTGS-CR-RATN27056580929-RAZORPAY SOFTWARE PRIVATE LIMITED,179633.27
RATN27063580960,2027-03-04,NEFT CR RATN27063580960 RAZORPAY SOFTWARE PVT LTD,173688.15
RATN27067580968,2027-03-08,NEFT-DR-RATN0000088-ARCLIGHT SYSTEMS-RATN27067580968,-1606.23
RATN27069580996,2027-03-10,RTGS-CR-RATN27069580996-RAZORPAY SOFTWARE PVT LTD,138643.31
RATN27074581017,2027-03-15,CHG:NEFT OUTWARD RATN27074581017,-8262.42
RATN27076581027,2027-03-17,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,13692.58
RATN27077581037,2027-03-18,NEFT-CR-RATN0000088-CLG,489099.33
RATN27084581040,2027-03-25,NEFT CR RATN27084581040 RAZORPAY SOFTWARE PVT LTD,256251.11
