order_id,invoice_no,gstin,amount,invoice_date
order_05K2UBsrdYZRwf,INV/26-27/1001,,9199.00,2027-01-04
order_uzfOeOtOCXzy7X,INV/26-27/1002,,69000.00,2027-01-04
order_L2UrCs0Ny1ZE9P,INV/26-27/1003,,58099.00,2027-01-05
order_Y35kUP25eGsQJN,INV/26-27/1004,,10950.00,2027-01-05
order_EZtRChbUfvhsmk,INV/26-27/1005,,2747.00,2027-01-06
order_oH5ZRQ99BCPaGq,INV/26-27/1006,,10349.00,2027-01-07
order_CZwmdzDal4Lbyn,INV/26-27/1007,,3349.00,2027-01-08
order_QmHWmPHIBZ0jIi,INV/26-27/1008,,2546.00,2027-01-08
order_Tv3MPFIDeYojVU,INV/26-27/1009,,18249.00,2027-01-08
order_0wsiw70b0vHP8G,INV/26-27/1010,29HXUXB3157B1ZU,2150.00,2027-01-09
order_8Ww9v21BpaCWSm,INV/26-27/1011,,10199.00,2027-01-09
order_L5cnYNFRpUG24e,INV/26-27/1012,,1899.00,2027-01-09
order_OqXlMBeHmY0Ovk,INV/26-27/1013,07RIFXW2190Z1Z2,18249.00,2027-01-09
order_gzByHtxQBBquBP,INV/26-27/1014,,6149.00,2027-01-09
order_r0P7rnbb4PCmWI,INV/26-27/1015,,1899.00,2027-01-09
order_wFsVlsvU41kPJV,INV/26-27/1016,,2499.00,2027-01-10
order_UxORzUtwcivAQZ,INV/26-27/1017,,20649.00,2027-01-11
order_sHD3FMH9dhXWmg,INV/26-27/1018,29XCUXM0680V1Z7,5399.00,2027-01-11
order_BQ6KJRLEMPev4x,INV/26-27/1019,,7650.00,2027-01-12
order_b9MezxHSYczLjO,INV/26-27/1020,,2500.00,2027-01-12
order_pyDYzyTa8AvHRD,INV/26-27/1021,,4998.00,2027-01-12
order_7tWJyLegicmEdf,INV/26-27/1022,,5149.00,2027-01-13
order_CX5BwRLLiVXE8E,INV/26-27/1023,,20149.00,2027-01-13
order_NjbnwOEA2F0gXS,INV/26-27/1024,,1649.00,2027-01-13
order_TYtt5fAEDzrJ5n,INV/26-27/1025,27SIRXM7434V1Z0,898.00,2027-01-13
order_uYz1OIMl0CWLy8,INV/26-27/1026,,7749.00,2027-01-13
order_37KHmPq948tV7d,INV/26-27/1027,,4699.00,2027-01-14
order_7cfb1Hojonvdz7,INV/26-27/1028,,2647.00,2027-01-14
order_N8Zxw9M2adPGxT,INV/26-27/1029,,66000.00,2027-01-14
order_iOliXKcUzXeICz,INV/26-27/1030,,2598.00,2027-01-14
order_6VrZrpGYZhfAuA,INV/26-27/1031,,1749.00,2027-01-15
order_JUt7IYkbawS5IB,INV/26-27/1032,,11349.00,2027-01-15
order_NFbSjz79dls9L9,INV/26-27/1033,,18349.00,2027-01-15
order_aEc5x46eyTyREs,INV/26-27/1034,,3098.00,2027-01-15
order_aj3wnCyI9XeDZY,INV/26-27/1035,,6400.00,2027-01-15
order_gglv2cl14NA4VZ,INV/26-27/1036,,2499.00,2027-01-15
order_N99AbFc3uc2ZxD,INV/26-27/1037,,5049.00,2027-01-16
order_U2p2ukbP4GLgC9,INV/26-27/1038,,5998.00,2027-01-16
order_UEZZLusLoizMOk,INV/26-27/1039,,2045.00,2027-01-16
