bank_reference,value_date,narration,amount
RATN27006747312,2027-01-06,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,974.44
RATN27011747318,2027-01-11,NEFT CR RATN27011747318 RAZORPAY SOFTWARE,21280.69
RATN27015747351,2027-01-15,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27015747351,216178.50
RATN27018747383,2027-01-18,NEFT-CR-RATN0000088-CLG,-8742.79
RATN27021747405,2027-01-21,NEFT-CR-RATN0000088-CLG,355289.52
RATN27025747445,2027-01-25,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27025747445,27961.62
,2027-01-28,RTGS-CR-RATN********-RAZORPAYSOFTWAREP,266401.90
RATN27035747492,2027-02-04,RTGS-CR-RATN27035747492-RAZORPAY SOFTWARE PVT LTD,316412.63
RATN27043747523,2027-02-12,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,108736.74
RATN27048747546,2027-02-17,IMPS/RATN27048747546/RAZORPAYSOFTWAREP,186143.75
RATN27050747585,2027-02-19,NEFT RET RATN27050747585 - ACCOUNT CLOSED,-3245.66
RATN27056747599,2027-02-25,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27056747599,45164.07
RATN27057747630,2027-02-26,CHG:NEFT OUTWARD RATN27057747630,-2751.20
RATN27064747646,2027-03-05,NEFT CR RATN27064747646 RAZORPAY SOFTWARE,543495.23
RATN27067747686,2027-03-08,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,35682.64
RATN27069747714,2027-03-10,RTGS-CR-RATN27069747714-RAZORPAY SOFTWARE,45008.29
RATN27076747749,2027-03-17,NEFT CR RATN27076747749 RAZORPAY SOFTWARE PVT LTD,241466.97
RATN27077747771,2027-03-18,NEFT-DR-RATN0000088-SIXFOLD TRADING-RATN27077747771,-241466.97
RATN27088747803,2027-03-29,RTGS-CR-RATN27088747803-RAZORPAY SOFTWARE PVT LTD,17743.88
RATN27088747828,2027-03-29,IMPS/RATN27088747828/RAZORPAYSOFTWAREP,330935.73
