order_id,invoice_no,gstin,amount,invoice_date
order_0Ok7J6aEdLITxD,INV/26-27/1001,27MWOXE9536S1ZO,58000.00,2027-01-04
order_40FcppHkPl2Lj6,INV/26-27/1002,,15449.00,2027-01-04
order_Eyoon8KbdfMkru,INV/26-27/1003,29GWZXA1729N1Z6,998.00,2027-01-04
order_kShvqie7bSlDnf,INV/26-27/1004,,9149.00,2027-01-04
order_U3eAX1juA7mL0V,INV/26-27/1005,,7596.00,2027-01-05
order_PYjS7guFuJwxNP,INV/26-27/1006,,6450.00,2027-01-06
order_QeoCekyOSyPTHZ,INV/26-27/1007,,648.00,2027-01-06
order_tTlD0PHuTL5nMq,INV/26-27/1008,27MTEXK6491J1ZG,4999.00,2027-01-06
order_te43fnwrPpIF0H,INV/26-27/1009,,3097.00,2027-01-06
order_c1vHcapElEYd0P,INV/26-27/1010,,11000.00,2027-01-07
order_ozDqBWkn2tDHv6,INV/26-27/1011,27THFXY0590S1ZD,11199.00,2027-01-07
order_1trfCvLCtjQUI4,INV/26-27/1012,,19400.00,2027-01-08
order_7Ucf8sVxCqcw5N,INV/26-27/1013,,2699.00,2027-01-08
order_XXOEo2gjdVVcka,INV/26-27/1014,,7599.00,2027-01-08
order_qiMW1N2O3QFVu5,INV/26-27/1015,,21549.00,2027-01-08
order_YZjrDfezz9sB5Z,INV/26-27/1016,,100099.00,2027-01-09
order_gOMNkgCSCCGke6,INV/26-27/1017,,67599.00,2027-01-09
order_lKAjb8yikLYed0,INV/26-27/1018,33QCHXP8143P1Z5,9799.00,2027-01-09
order_zEvb19iDoJjTck,INV/26-27/1019,,3048.00,2027-01-09
order_DvJg55HeH5G28W,INV/26-27/1020,,3449.00,2027-01-10
order_G75RS6PsriVbe8,INV/26-27/1021,,15249.00,2027-01-10
order_cHhDxq9aXnU0mG,INV/26-27/1022,,4646.00,2027-01-10
order_l9FISmsvzLd0qA,INV/26-27/1023,,899.00,2027-01-10
order_2lP0OyJgS4YGSk,INV/26-27/1024,,6096.00,2027-01-11
order_6v2GcC9WfzXVcj,INV/26-27/1025,,70049.00,2027-01-11
order_CLE1DhHSoVlNCh,INV/26-27/1026,,6649.00,2027-01-11
order_JG4e2Y98AOaETS,INV/26-27/1027,07HVKXY6560T1ZL,3649.00,2027-01-11
order_cd6qHrz3J15wYw,INV/26-27/1028,,1249.00,2027-01-11
order_eVnL7a51tfMFk5,INV/26-27/1029,,4046.00,2027-01-11
order_RfUGyJgcOw54iR,INV/26-27/1030,,6749.00,2027-01-12
order_SUT2izwzRrDWT0,INV/26-27/1031,,30000.00,2027-01-12
order_ke0SmATgbj4lEp,INV/26-27/1032,,4399.00,2027-01-12
order_53Q6cBYWeDtFYW,INV/26-27/1033,33YJGXJ6208E1ZI,5649.00,2027-01-13
order_NhfCYPGQUvt6NY,INV/26-27/1034,,4046.00,2027-01-13
order_U2M4uadLKL0Vja,INV/26-27/1035,,31049.00,2027-01-13
order_o2bPiYN5jhwuOU,INV/26-27/1036,,4497.00,2027-01-13
order_7adpNdL6Loz2Gx,INV/26-27/1037,,7596.00,2027-01-14
order_FMCvXjrWE91RKw,INV/26-27/1038,,10047.00,2027-01-14
order_QLFLizsHGzbyGP,INV/26-27/1039,,11299.00,2027-01-14
order_oudjV4moih53U1,INV/26-27/1040,,6146.00,2027-01-14
order_s3sNOrhuE6kuoF,INV/26-27/1041,,4390.87,2027-01-14
