gstin,invoice_no,invoice_date,taxable_value,igst,cgst,sgst,irn,irn_generated_at,gstr1_filing_period,supplier_gstr3b_filed,itc_availability
33SYNXN4309S1ZS,INV/26-27/7018,2027-03-20,25429.31,4577.28,0.00,0.00,dbcec10fe1f1fe51b752da96855e4bf92b64544010cd5e3d8dd881a6a2c15276,,,Y,Yes
07GZGXI7474J1ZB,INV/26-27/7013,2027-02-11,28727.14,5170.89,0.00,0.00,cbfd502ec7d702436f26f4732015074fa267ba61ed02f0e07f4100b8be797411,,,Y,Yes
24AAEXH9193V1ZB,INV/26-27/7016,2027-02-19,18786.81,3381.63,0.00,0.00,71d9335236ce32a207d85311b0fff44e702108db5f0fc4186c6d49c279d91a73,,,Y,Yes
29YJFXB2559R1ZJ,INV/26-27/7000,2027-01-01,18107.73,0.00,1629.70,1629.70,59099e7aacdd601176acd79d4456e867e060dd4b812c3c5fe513b1f8ce072180,2027-01-01T09:15:00,2027-01,N,Yes
27NOXXJ9881A1ZI,INV/26-27/7010,2027-03-14,10990.44,1978.28,0.00,0.00,66f186eaca0b55000dc383a5146708f75e800f475687fbce6c329f78e1a7b96d,,,Y,Yes
29KJVXD7351G1Z2,INV/26-27/7004,2027-02-22,7086.19,0.00,637.76,637.76,8f2a5dcb53dd788db57d04692f290c4e5de6c5410e10de1cd2e1f8787d17f92e,,,Y,Yes
29YJFXB2559R1ZJ,INV/26-27/7002,2027-03-01,23761.07,0.00,2138.50,2138.50,,2027-03-01T09:15:00,2027-03,Y,No
33SDJXV0627B1ZX,INV/26-27/7020,2027-02-14,27904.53,5022.82,0.00,0.00,1304f87de27baae1b3e93fb1a8a4e6cbab04428abb5712eee51439e3f29b0618,,,Y,Yes
29INDXQ2859J1ZR,INV/26-27/7006,2027-02-24,1262.17,0.00,113.60,113.60,ca5cbcc94e560e21c4314efcd72b04a79ab9f032f4acb39606c4336235946202,,,Y,Yes
29UPIXF3951P1ZA,INV/26-27/7005,2027-02-24,12645.49,0.00,1138.10,1138.10,8a7279f19a6e6068648d21baa4bf7d53f601123d5902fb05f76d8d072c667bed,,,Y,Yes
06KBLXE9079N1Z8,INV/26-27/7017,2027-01-13,15106.72,2719.21,0.00,0.00,49c72f12b18371d6ef7c8633c490beded679f07657a40f49d377c59169c279dc,,,Y,Yes
24JAVXG5782C1ZU,INV/26-27/7009,2027-03-15,8342.68,1501.69,0.00,0.00,1cbe696600ee6cae5e683203008660e5787473fb09d066163a715ba8d82d4eb1,,,Y,Yes
24YIFXF9776O1ZG,INV/26-27/7012,2027-02-18,4029.60,725.33,0.00,0.00,9c5c54fb37e5b465af61889a2b75bd9c0587857d9c032237c094d36d9e4f07c5,,,Y,Yes
24QBXXG9168T1ZG,INV/26-27/7007,2027-03-07,3108.02,559.45,0.00,0.00,453ab0f9a738aef7db213a3089007b813acbeed35b71355ad06c71a8fe70b0f5,,,Y,Yes
33BXPXJ9685I1Z8,INV/26-27/7023,2027-01-28,25191.54,4534.48,0.00,0.00,224a48464edd2a9bc4e0721d848f1c57896651c2f154b50c2f5069fd7e57b1c4,,,Y,Yes
24DDSXS0590P1Z6,INV/26-27/7003,2027-01-13,27359.21,4924.66,0.00,0.00,d8d19b37c739f294cb23e28a9cd9684bb403298bea3aadfc8ed90c39b602c3a9,,,Y,Yes
07AUEXI0180I1ZE,INV/26-27/7021,2027-02-09,15698.84,2825.80,0.00,0.00,d91aff109f94a796fc309d724740c31ede5be5b17997d93c2eef049823abb1bb,,,Y,Yes
33ZBDXH0042U1ZI,INV/26-27/7019,2027-03-25,14651.29,2637.24,0.00,0.00,,,,Y,No
27VYVXR6011H1ZY,INV/26-27/7008,2027-02-02,23652.82,4257.51,0.00,0.00,,,,Y,No
24COAXE0051G1ZB,INV/26-27/7011,2027-01-09,9277.94,1670.03,0.00,0.00,0978fca5ecac4307f2d5dc28cfebec8b19b91e07a7023b8ef0b4a4d3f48e4f26,,,Y,Yes
33YVNXL4977T1ZA,INV/26-27/7022,2027-03-19,14094.61,2537.03,0.00,0.00,,,,Y,No
27IMJXO8299R1ZZ,INV/26-27/7015,2027-02-03,9479.37,1706.29,0.00,0.00,f4d5313ddd267ce33f2ad2f124a913a0c83c04cf8adc6565aad92c3bd6e9e602,,,Y,Yes
29LQCXO0114O1ZZ,INV/26-27/7014,2027-01-25,16216.12,0.00,1459.46,1459.46,bc997cab7570c72b5c71de5bc1644b221e75682203d575281304e76ef868df45,,,Y,Yes
