settlement_id,reported_reference,reported_amount,initiated_at,status
setl_q9b1BrfSFja0Fw,RATN27006747312,974.44,2027-01-06,processed
setl_Itykz2KQNNcKsT,RATN27015747351,216178.50,2027-01-13,processed
setl_qSpwpfdioeF86v,RATN27021747405,356166.35,2027-01-20,processed
setl_GcoADQ40DJnD3C,,266401.90,2027-01-27,processed
setl_hKqOzuWh86FDDf,RATN27035747492,316412.63,2027-02-03,processed
setl_Wr6KSxBjm5auNV,RATN27043747523,108736.74,2027-02-10,processed
setl_wO2vYmaztksW4t,RATN27048747546,186143.75,2027-02-17,processed
setl_0VJ7oDmv7DC5I7,RATN27056747599,45164.07,2027-02-24,processed
setl_c9rUQXEpA7MRxv,RATN27064747646,543495.23,2027-03-03,processed
setl_kENFfLm5NVh4Fv,RATN27069747714,45008.29,2027-03-10,processed
setl_ceGDUBOFNYw2E5,RATN27076747749,241466.97,2027-03-17,processed
setl_m2jVxcT32gClRl,RATN27088747828,330935.73,2027-03-24,processed
