order_id,invoice_no,gstin,amount,invoice_date
order_5dc3yr8ztPq7H6,INV/26-27/1001,,3196.00,2027-01-04
order_H0JWkOVELC2Hil,INV/26-27/1002,,13500.00,2027-01-04
order_K2RS0UQJATdCOj,INV/26-27/1003,,3599.00,2027-01-04
order_t1qmT0bfHftCGX,INV/26-27/1004,,4147.00,2027-01-04
order_VhQWRKCXDcF0UU,INV/26-27/1005,,13399.00,2027-01-05
order_fohA92TqDXBKIa,INV/26-27/1006,33WVJXH0995J1ZA,9699.00,2027-01-05
order_nBzvg0RROGJDtr,INV/26-27/1007,,13399.00,2027-01-05
order_o1LKVrShYSGy9u,INV/26-27/1008,,2679.40,2027-01-05
order_wBMG5Sz3GBSSi7,INV/26-27/1009,07PHGXG8922K1Z8,2679.40,2027-01-05
order_zc8gscwke7VdAG,INV/26-27/1010,,2647.00,2027-01-05
order_DDRbk0QJoTiIOM,INV/26-27/1011,,2047.00,2027-01-06
order_Q2oXkAqNQM2Pcc,INV/26-27/1012,,10349.00,2027-01-06
order_VhgsvUg7XTiraq,INV/26-27/1013,,9449.00,2027-01-06
order_uF4nilujJXQokP,INV/26-27/1014,,250.00,2027-01-06
order_vabqaZlMyHly3x,INV/26-27/1015,,4149.00,2027-01-06
order_LP7mT7ZjRoUHFV,INV/26-27/1016,,4149.00,2027-01-07
order_iN4O4HW14DKTg5,INV/26-27/1017,,6299.00,2027-01-07
order_g9uV9L5z25LLrG,INV/26-27/1018,,946.00,2027-01-08
order_8liG8dIO5TZJeu,INV/26-27/1019,,1150.00,2027-01-09
order_G75HkZGHQwbjyl,INV/26-27/1020,,14500.00,2027-01-09
order_XEIvQLY2I1VasU,INV/26-27/1021,,14699.00,2027-01-09
order_HnUdEfitEW8EdQ,INV/26-27/1022,,4049.00,2027-01-10
order_muLNCnga7Fqv5N,INV/26-27/1023,,12999.00,2027-01-11
order_zSt7rsAY6Goty5,INV/26-27/1024,,33149.00,2027-01-11
order_QG1pHLALYAAhrv,INV/26-27/1025,,10599.00,2027-01-12
order_e5nysGuIlpaZYY,INV/26-27/1026,07RWAXA3059V1Z7,11799.00,2027-01-12
order_oKG9mft2aX2yfc,INV/26-27/1027,,7199.00,2027-01-12
order_W0i7KYmUZZYggw,INV/26-27/1028,,1548.00,2027-01-13
order_bP4zkWeIVwVSF2,INV/26-27/1029,07BBLXZ1576E1ZR,5500.00,2027-01-13
order_hWitM7amUqKtM0,INV/26-27/1030,,7800.00,2027-01-13
order_hxwbkNI1RNBnRU,INV/26-27/1031,,5250.00,2027-01-13
order_kNuziAsDVeuL2t,INV/26-27/1032,,7800.00,2027-01-13
order_OkhaSp8HNHUC2F,INV/26-27/1033,,1600.00,2027-01-15
order_XxsjJfrXEbeLlX,INV/26-27/1034,,4250.00,2027-01-15
order_iByumjGROYm1H5,INV/26-27/1035,,30049.00,2027-01-15
order_280DEoZyHsZKRN,INV/26-27/1036,,5499.00,2027-01-16
order_sVGdDNTmQaUpxe,INV/26-27/1037,33DNUXD6712D1ZO,7399.00,2027-01-16
order_zxBpQuW7Zu6FZl,INV/26-27/1038,,5400.00,2027-01-16
order_SMaXlRmaqw8eNQ,INV/26-27/1039,07FTKXR2513T1ZD,7200.00,2027-01-17
order_Ukb9NsZGkSvlbu,INV/26-27/1040,,21649.00,2027-01-17
order_oMRSyCUwxQP4k9,INV/26-27/1041,,88149.00,2027-01-17
order_pQX7vmIHF3FyfL,INV/26-27/1042,,7200.00,2027-01-17
order_sqA9kTL25evTje,INV/26-27/1043,33UZPXG2009R1Z2,70000.00,2027-01-17
order_IKpI5xBpyvO1gg,INV/26-27/1044,,10000.00,2027-01-18
order_LKKzhRxL5kVgK1,INV/26-27/1045,,10649.00,2027-01-18
order_tOaBfoqjXXu2iz,INV/26-27/1046,,8997.00,2027-01-18
order_tasHZRWtKbmapr,INV/26-27/1047,,10000.00,2027-01-18
order_2rccC814zfGbns,INV/26-27/1048,,8049.00,2027-01-19
order_HnYYGsZ5kMhWNH,INV/26-27/1049,,7599.00,2027-01-19
order_QkacoYvwXaw4X7,INV/26-27/1050,07VUBXN1065P1ZB,2100.00,2027-01-19
order_de15JmmUEilxJk,INV/26-27/1051,,5399.00,2027-01-19
order_mSW0Eeu0fZT3T1,INV/26-27/1052,07LLAXS4748S1ZH,399.00,2027-01-19
order_BHrnj50tplIm8X,INV/26-27/1053,,6150.00,2027-01-20
order_VkJhLac7iwHFHh,INV/26-27/1054,,28649.00,2027-01-20
order_iJXrAuwkmbU0YD,INV/26-27/1055,,6150.00,2027-01-20
order_roJaHjwwdqWREz,INV/26-27/1056,,2100.00,2027-01-20
order_1nmrSzjPDB1yh2,INV/26-27/1057,,4699.00,2027-01-21
order_L9AyopThVsPAAe,INV/26-27/1058,,2250.00,2027-01-21
order_TVX9CheXCv1EEK,INV/26-27/1059,,4949.00,2027-01-21
order_UAXVd4tl5epHbi,INV/26-27/1060,,3050.00,2027-01-21
order_tmRSJamp3FEYmu,INV/26-27/1061,,84149.00,2027-01-21
order_8YqKXztXprNQP7,INV/26-27/1062,,7649.00,2027-01-22
order_5HmocWcYN0jDNM,INV/26-27/1063,,1300.00,2027-01-23
order_MzybwHRv0yP9HZ,INV/26-27/1064,,11949.00,2027-01-23
order_2OxBZz0tWTKJHe,INV/26-27/1065,,84000.00,2027-01-24
order_CFufi1tjFQirJr,INV/26-27/1066,,23000.00,2027-01-24
order_S1cvpnQk1bmTlw,INV/26-27/1067,,11100.00,2027-01-24
order_g34bSCJEbNpJCA,INV/26-27/1068,33BWEXP6849Q1Z7,1697.00,2027-01-24
order_F86zwFGL52dEbt,INV/26-27/1069,,31549.00,2027-01-25
