bank_reference,value_date,narration,amount
RATN27008537266,2027-01-08,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,17720.68
RATN27013537304,2027-01-13,IMPS/RATN27013537304/RAZORPAY SOFTWARE,6917.43
RATN27013537313,2027-01-13,IMPS/RATN27013537313/RAZOR,293655.12
RATN27021537352,2027-01-21,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE,291321.89
RATN27025537359,2027-01-25,IMPS/RATN27025537359/ARCLIGHT SYSTEMS,35474.79
RATN27027537377,2027-01-27,RTGS-CR-RATN27027537377-RAZORPAY SOFTWARE,220590.74
RATN27029537414,2027-01-29,NEFT RET RATN27029537414 - ACCOUNT CLOSED,-220590.74
RATN27036537435,2027-02-05,IMPS/RATN27036537435/RAZORPAYSOFTWAREP,305254.37
RATN27042537453,2027-02-11,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27042537453,536328.74
RATN27049537454,2027-02-18,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27049537454,303204.31
RATN27053537494,2027-02-22,NEFT-DR-RATN0000088-RAZORPAY S,-1680.58
RATN27056537511,2027-02-25,NEFT RET RATN27056537511 - ACCOUNT CLOSED,-4412.19
RATN27056537544,2027-02-25,IMPS/RATN27056537544/RAZORPAY SOFTWARE PRIVATE LIMITED,322320.44
RATN27062537560,2027-03-03,IMPS/RATN27062537560/RAZORPAY SOFTWARE,269791.50
RATN27064537568,2027-03-05,RTGS-CR-RATN27064537568-CLOVERLEAF FOODS PVT LTD,38251.07
RATN27069537601,2027-03-10,RTGS-CR-RATN27069537601-RAZORPAY SOFTWARE,151442.50
RATN27074537608,2027-03-15,IMPS/RATN27074537608/CLOVERLEAF FOODS PVT LTD,17300.53
,2027-03-18,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,144937.03
RATN27082537638,2027-03-23,NEFT-DR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-RATN27082537638,-976.25
RATN27084537672,2027-03-25,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,171213.30
