order_id,invoice_no,gstin,amount,invoice_date
order_lTmNK8d5SGv2zp,INV/26-27/1001,,6500.00,2027-01-04
order_qvpJ6AAdXyHP9J,INV/26-27/1002,,1996.00,2027-01-04
order_1AWTmAeuk1ijVj,INV/26-27/1003,,1697.00,2027-01-05
order_chUYlk1TLdjKYC,INV/26-27/1004,,4250.00,2027-01-05
order_9o7qGWRIhiMgZE,INV/26-27/1005,33BSOXI7463R1ZE,17549.00,2027-01-06
order_GgzZWQAsYMx2GH,INV/26-27/1006,,8199.00,2027-01-06
order_LNSbiiwhbhSsj0,INV/26-27/1007,,57049.00,2027-01-06
order_VM7UgooCamIp0A,INV/26-27/1008,,9299.00,2027-01-06
order_c1a6L6BDxnsLnw,INV/26-27/1009,,12900.00,2027-01-06
order_doDh5NSqddqFDj,INV/26-27/1010,,1449.00,2027-01-06
order_hDhFyZ0eGreQYN,INV/26-27/1011,,5399.00,2027-01-06
order_jQ6Gft4M9O9rtw,INV/26-27/1012,07DBJXJ8594H1ZL,4399.00,2027-01-06
order_pFJMnEPdFcWlAK,INV/26-27/1013,,5800.00,2027-01-06
order_qdiaCfwPl3AASR,INV/26-27/1014,,1399.00,2027-01-06
order_yXzcX7fOOEZU7h,INV/26-27/1015,,98149.00,2027-01-06
order_5ZHZOZlzXvAUEK,INV/26-27/1016,,2048.00,2027-01-07
order_HVrTYKBjN1shCz,INV/26-27/1017,,1850.00,2027-01-07
order_RtUuGHfF8XsLfp,INV/26-27/1018,,6149.00,2027-01-07
order_WrBNGAHIG8JbWY,INV/26-27/1019,07VUIXD8760U1ZO,9996.00,2027-01-07
order_XVD2rgE9AYNVKv,INV/26-27/1020,,600.00,2027-01-07
order_YadUcu2cmr0gLN,INV/26-27/1021,,6200.00,2027-01-07
order_j08T6Gf6IEho2c,INV/26-27/1022,,946.00,2027-01-07
order_p7RrQPPUO3mqu1,INV/26-27/1023,,10049.00,2027-01-07
order_xZ0du2Fdt8S5YQ,INV/26-27/1024,,1646.00,2027-01-07
order_4ff0K2sqfEhKri,INV/26-27/1025,,38099.00,2027-01-08
order_65aqtjvH7IOwYq,INV/26-27/1026,,1899.00,2027-01-08
order_hykqkCcOuhvLAQ,INV/26-27/1027,,12145.00,2027-01-08
order_4egOIEuxalzIub,INV/26-27/1028,07FKMXM6493X1Z3,8300.00,2027-01-09
order_SXmJRh07bWejjO,INV/26-27/1029,,4599.00,2027-01-09
order_ULpghT2JbCOFBm,INV/26-27/1030,,52500.00,2027-01-10
order_kkcSgwVu7EdBIu,INV/26-27/1031,,5345.00,2027-01-10
order_kmkQ3miQdWIhkc,INV/26-27/1032,,6300.00,2027-01-10
order_lehMV09qBoVjsV,INV/26-27/1033,,13500.00,2027-01-10
order_uHqj85qxkUjf2M,INV/26-27/1034,,9099.00,2027-01-10
order_AT0cEAbaG4flRw,INV/26-27/1035,,17599.00,2027-01-11
order_Ec6vZBTdaV6OQK,INV/26-27/1036,,15096.00,2027-01-11
order_OqERTgByIvuNu2,INV/26-27/1037,,2999.00,2027-01-11
order_TbyN9sfqYsxhfX,INV/26-27/1038,,94099.00,2027-01-11
order_YNA2JmoWLB3ge3,INV/26-27/1039,,35099.00,2027-01-11
