gstin,invoice_no,invoice_date,taxable_value,igst,cgst,sgst,irn,irn_generated_at,gstr1_filing_period,supplier_gstr3b_filed,itc_availability
29AVLXK8363J1ZE,INV/26-27/7004,2027-03-11,3497.25,0.00,314.76,314.76,1042720e74c4774b518038952bd8aaefcbd60835d69e0518e21d66851c959d4a,,,Y,Yes
29MMPXU3709Q1Z4,INV/26-27/7006,2027-02-28,3516.47,0.00,316.49,316.49,43bf6c6030472d5bf248c385060f7f285902f9756e800e7128c74ac1f4dac5c0,,,Y,Yes
29RXRXB1420I1ZM,INV/26-27/7018,2027-02-18,8350.25,0.00,751.53,751.53,7f86bd8dce35b2f0a26747386de5e2ddccb0c9bcde735648d05e268a04604d65,,,Y,Yes
27YPIXW7462T1ZF,INV/26-27/7012,2027-03-17,8411.12,1514.01,0.00,0.00,c7a92e786003d2db8e1421850943757ccdf43d95ad9c209841d4b798cf8b42ac,,,N,Yes
06FJXXO8970Q1Z6,INV/26-27/7021,2027-01-10,4959.22,892.66,0.00,0.00,,,,Y,No
06JSKXS3512I1ZX,INV/26-27/7015,2027-01-28,14976.41,2695.76,0.00,0.00,,,,Y,No
07TKQXY2155F1ZR,INV/26-27/7013,2027-03-21,3686.05,663.49,0.00,0.00,5fafcc98f7c3408721d5e7019eb17014224a82a195e71850e1c771770ec810e3,,,Y,Yes
33LHSXI3353T1ZU,INV/26-27/7014,2027-03-09,27080.98,4874.58,0.00,0.00,960e0411873258e8af4f6d55a98d8caf1bd06779308472a2967c6fb43d58fb2d,,,Y,Yes
24FYDXZ3719J1ZG,INV/26-27/7005,2027-03-05,23817.93,4287.23,0.00,0.00,a6caf1fe54f44e7b5c7be9ff7b871496165fb9c87e8bf19e2f5e828037b13527,,,Y,Yes
29GPDXM1466B1ZH,INV/26-27/7000,2027-01-01,38604.26,0.00,3474.39,3474.39,8e70c564b4ea4fb592bd62ea558763ae2162b8897be81e78496612bdd5804a80,2027-01-01T09:15:00,2027-01,N,Yes
07EZEXN7450V1ZU,INV/26-27/7008,2027-01-28,1912.02,344.17,0.00,0.00,92fa864128e0fb5c9b206175649d2d179c3ece9575e986f1e7fd6c5ee32a6bf9,,,Y,Yes
24TYQXG4550S1ZR,INV/26-27/7019,2027-02-21,10101.73,1818.32,0.00,0.00,,,,N,No
07VAEXM0848D1ZY,INV/26-27/7020,2027-01-06,9648.51,1736.74,0.00,0.00,8511518e0955f5a6f9efff51308b483277c9cc12b5bac0a12e735222c99b9b82,,,Y,Yes
29ECBXX3933Z1ZO,INV/26-27/7022,2027-03-04,5313.83,0.00,478.25,478.25,e7b622daaf67d32a90f5ba09cc947fbadc13370ef3fa9a907f2768fcbd1ea470,,,Y,Yes
27NSUXF5524A1Z1,INV/26-27/7017,2027-03-11,22935.61,4128.41,0.00,0.00,6243bf3f3cbdfca8bc379a13a2766412188e4a162df663729dc516f2b0138c22,,,Y,Yes
07MBUXU8669A1Z4,INV/26-27/7007,2027-02-12,6874.99,1237.50,0.00,0.00,edaadc77c35e2539b1a96a6f8f68b0d9058fff1a8c085b8f2521301efd0e5cfa,,,Y,Yes
07IDLXW8197L1ZP,INV/26-27/7010,2027-02-22,12249.26,2204.87,0.00,0.00,654e1f7387fd180f4d92e603026d2ff0f78a69bd45f9054f152281b3ca6f504b,,,Y,Yes
24SLTXW9091N1ZV,INV/26-27/7009,2027-02-14,3758.94,676.61,0.00,0.00,7e0fde0c2863e1bd0b8ed198f07782a0bd2b043c7596712630d46d6ee8ad526d,,,Y,Yes
29GPDXM1466B1ZH,INV/26-27/7002,2027-03-01,58131.95,0.00,5231.88,5231.88,,2027-03-01T09:15:00,2027-03,Y,No
27CEDXH0131I1ZI,INV/26-27/7011,2027-03-04,9050.63,1629.12,0.00,0.00,a82a82afafdfbe6a7b062bc7eaef5a488a3d1ad3f368fcb0cc873f691ace06e2,,,Y,Yes
07FPKXK3465Q1ZL,INV/26-27/7023,2027-02-05,6340.26,1141.25,0.00,0.00,62ef36d39a3e27b6c4046c9830a311565286cd0bb49a0cd6fabbaf412f1493f8,,,Y,Yes
33STHXF2970I1ZT,INV/26-27/7003,2027-02-27,7941.77,1429.52,0.00,0.00,1b1c23ef54ef03d8d390eb504ba4807dd418f9249ce4a0fae234c7453c74d8af,,,Y,Yes
07QGXXP7775O1Z2,INV/26-27/7016,2027-01-30,9663.43,1739.42,0.00,0.00,3e8c7e57954a3fcdb390e299e5b41a03dbedcf5f2529f4f63d737d6f1ad2bd6a,,,Y,Yes
