settlement_id,reported_reference,reported_amount,initiated_at,status
setl_97AhUNQc71f0nz,,645218.55,2027-01-13,processed
setl_Wvy61dpv5u3EG7,RATN27020152478,622241.87,2027-01-20,processed
setl_XgLGQRihc2loNr,RATN27027152511,539394.31,2027-01-27,processed
setl_HtS9I7uK2Q6BVY,RATN27034152553,465379.14,2027-02-03,processed
setl_zChfsjHFIHFPs9,RATN27041152583,612318.79,2027-02-10,processed
setl_o2qx5MgZfa050l,RATN27049152603,359121.90,2027-02-17,processed
setl_SqLPlmoeW6e9t0,RATN27055152638,392786.98,2027-02-24,processed
setl_ZXFAJcxKAa96rm,RATN27062152651,500758.81,2027-03-03,processed
setl_tBuntApBoQ1wVm,RATN27071152705,738999.99,2027-03-10,processed
setl_5GN6rlVQAxwAOP,RATN27076152757,904469.87,2027-03-17,processed
setl_lAewgByJOiofuj,RATN27083152813,676621.76,2027-03-24,processed
