gstin,invoice_no,invoice_date,taxable_value,igst,cgst,sgst,irn,irn_generated_at,gstr1_filing_period,supplier_gstr3b_filed,itc_availability
06LBSXE9955F1ZG,INV/26-27/7004,2027-01-06,3911.73,704.12,0.00,0.00,bbb723b5f04d36c12ea1cc668fdcb4d900a54882f006ff21d87cb00b43a81c93,,,Y,Yes
29RBFXY7140I1Z7,INV/26-27/7013,2027-03-22,1509.92,0.00,135.90,135.90,df5d6fa9d77b38f7d47616af97e08b23679b40e7e670533bba15a175ffb0c267,,,Y,Yes
07DBSXS7061E1ZP,INV/26-27/7010,2027-03-23,21473.39,3865.22,0.00,0.00,e6e3619e005ce9a7b805309c0dac85d141aa364e03747320e3cf38ac46332d97,,,Y,Yes
27DBDXW4792B1ZW,INV/26-27/7007,2027-01-04,26482.95,4766.94,0.00,0.00,d387b5c5f513cf5ea56186168ea7a3025f67d52c59c52a7dbe668562bc9c1daf,,,Y,Yes
29NTKXZ6780G1ZX,INV/26-27/7022,2027-01-18,22870.46,0.00,2058.35,2058.35,8c06d21661128f1c6e982ff3919c42448129ffe3d8c3fd2d83e01c08398dc5e7,,,Y,Yes
27MCFXS6285I1Z8,INV/26-27/7017,2027-01-16,29032.99,5225.94,0.00,0.00,9efd72ac9e427be4f1c81389c550ee7efd74427778ce9ecbd355841ba8a8291f,,,Y,Yes
33PZXXP4897J1ZE,INV/26-27/7005,2027-03-22,13104.31,2358.78,0.00,0.00,c3fcbf9232e3daff13293c5870a684c532a7eee599e2ad315a327f3568e15523,,,Y,Yes
29UTMXB1951X1ZQ,INV/26-27/7019,2027-01-15,1512.55,0.00,136.13,136.13,7769e614aa2753529acc99db6b370ce9a5d822408fc8be5aacb72542dd705c59,,,Y,Yes
27WRSXI2888Z1Z1,INV/26-27/7015,2027-01-05,13507.70,2431.39,0.00,0.00,9ca5920bb657f70e89f9c160d154dfda2baf653ec43b1ef7b310d4ebfd316ce6,,,Y,Yes
33JJUXI0214F1ZW,INV/26-27/7003,2027-02-25,10271.17,1848.82,0.00,0.00,1a33b9e7fda0a7d9125affc691c6e534bd0abafe1e472e33321feaab080859cb,,,Y,Yes
27CVFXO0975E1ZZ,INV/26-27/7008,2027-03-10,19671.85,3540.94,0.00,0.00,e114d178868c27d74803aa5752a1ee26684810c1ba6cf698b49e718a7cdb6998,,,Y,Yes
06JVSXW6383R1ZE,INV/26-27/7020,2027-02-13,9254.73,1665.86,0.00,0.00,0c28998eebee4a0dfc0dde38031525398e51fe5e9d1f62202cc92ded45dbbec8,,,Y,Yes
33GCFXP2197S1Z9,INV/26-27/7023,2027-01-27,14094.79,2537.07,0.00,0.00,c6ea8aed9be34165c4d6f59d7866c0794147f0fa3ca9a0e8daf838a5b8c26952,,,Y,Yes
29RLWXC0211I1Z9,INV/26-27/7014,2027-03-02,29335.77,0.00,2640.22,2640.22,b51ec07ff64140e3ad2ce78cee07715b6f6636306e2edc9cfab12065120746ae,,,Y,Yes
29ARGXH1143C1ZT,INV/26-27/7000,2027-01-01,54270.31,0.00,4884.33,4884.33,313d8ffe8060e98f13b9a99887ff4218493eb6c7afc0a027a5362dafa544d924,2027-01-01T09:15:00,2027-01,N,Yes
29HXJXG3876Z1ZD,INV/26-27/7009,2027-02-14,6511.76,0.00,586.06,586.06,1a2d02445ac9f8094890223027b49d5cb82031b1066a968146244149d967d2d0,,,Y,Yes
29YWEXK2000G1ZW,INV/26-27/7016,2027-01-13,18965.98,0.00,1706.94,1706.94,d2d62efdc99f84a5b51bb020bde0794545a135163f0dd4af685f5788bfc4cb7d,,,Y,Yes
29VJCXX6367J1ZD,INV/26-27/7006,2027-01-07,18426.91,0.00,1658.43,1658.43,004967d0df661c510fc71183dc5f5a389a09494362852ebe8956f947085d1941,,,Y,Yes
33FSVXS9683P1ZN,INV/26-27/7021,2027-03-04,4841.79,871.53,0.00,0.00,f6a37c9b5efedfbb7bc002a93eb11d9eb3ab831508d4e7abc541b2b5ccf243ad,,,Y,Yes
07GRLXB2904S1ZU,INV/26-27/7011,2027-03-29,3076.46,553.77,0.00,0.00,1af265e1ba61f4100552a62d2416999f968c6a9b2fedf39760c1d800bb5f052a,,,Y,Yes
07JDPXA3838I1ZQ,INV/26-27/7012,2027-01-12,11166.64,2010.00,0.00,0.00,3b3373db1aacee9e6e1f380eb5a76f0ebf722080ee5d9838c9df953b491d48ae,,,Y,Yes
29ARGXH1143C1ZT,INV/26-27/7002,2027-03-01,62274.18,0.00,5604.68,5604.68,,2027-03-01T09:15:00,2027-03,Y,No
27DMPXH3180U1ZL,INV/26-27/7018,2027-02-02,596.83,107.43,0.00,0.00,57d11903c2280c37ba49e627a918f8eaae60ae95252064e6b7f67520b339c7f4,,,Y,Yes
