utr,date,narration,amount
1781695800KVmUoi,2026-06-17,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-1781695800KVmUoi,5009.15
17823006005FpBtT,2026-06-24,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-17823006005FpBtT,38479.74
1782905400L2YMb0,2026-07-01,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-1782905400L2YMb0,66440.65
1783510200t6qjuV,2026-07-08,NEFT-CR-RATN0000088-RAZORPAY  SOFTWA,59914.40
1784115000aNTwlr,2026-07-15,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-1784115000aNTwlr,99329.23
1784719800vtiSh6,2026-07-22,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-1784719800vtiSh6,43472.51
178532460025bIUb,2026-07-29,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-178532460025bIUb,46457.04
1785929400mHMwcp,2026-08-05,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-1785929400mHMwcp,84973.18
1786534200yuev1Q,2026-08-12,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-1786534200yuev1Q,70102.52
17871390007XSGn2,2026-08-19,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-17871390007XSGn2,38485.64
,2026-08-26,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-,105108.21
1788348600DyESrb,2026-09-02,NEFT-CR-RATN0000088-RAZORPAY  SOFTWA,391.97
