gstin,invoice_no,invoice_date,taxable_value,igst,cgst,sgst,irn,irn_generated_at,gstr1_filing_period,supplier_gstr3b_filed,itc_availability
18EHOXV1998Y1ZV,VER/415,2026-06-18,7905.68,1423.03,0.00,0.00,634ebc13fa4bef46e5ca9f650790cd407d4b3cf7f38d4e85ed821aca51c7f98b,2026-06-20,2026-06,Y,Yes
29FEVXI1719K1ZC,NIM/745,2026-06-19,37853.03,0.00,3406.78,3406.78,f28b61b3af7000afa80662e08dd7c1016b676acffdd1b1718479938b2d9b4267,2026-06-19,2026-06,Y,Yes
22UQKXE9742L1ZK,NIM/191,2026-06-30,12334.47,2220.21,0.00,0.00,df96ff11667d84c30cf26ebbcc7ad7c7bcf70496ef3ba6eaa145cd99fc680b50,2026-07-01,2026-06,Y,Yes
29FHBXN9205D1ZV,RZP/BLR/26-27/7000,2026-07-01,1348.72,0.00,121.39,121.39,5a63ec047a6408420b8dfcd813f7bbfd50e698b6c461156d3b7772528dd60c86,2026-07-03,2026-06,N,Yes
32DFKXK9046H1ZT,VER/924,2026-07-03,15458.18,2782.48,0.00,0.00,e17b51b7954d49bb23c662e01bef23c10e486d737b939a5bb67a41a201f0bfb2,2026-07-03,2026-07,Y,Yes
04UJUXY8509G1ZI,SIX/661,2026-07-08,2333.93,420.11,0.00,0.00,9ce329f9d8385473ae6d156c801d5bfafd678c555e9828b50707dbbe735fee40,2026-07-09,2026-07,Y,Yes
30BWTXT0222Y1Z7,TOL/258,2026-07-08,25293.50,4552.83,0.00,0.00,8d3129bccae9359bce0111421f38b9d19b525fbdcc26097fd994be22f346aa10,2026-07-10,2026-07,Y,Yes
36XWIXE4912R1Z0,VER/662,2026-07-09,11909.11,2143.64,0.00,0.00,574eea24dbaa06a9dcaf18f50498aab07f5bf18e57f4d414fd2e1b4b28031865,2026-07-11,2026-07,Y,Yes
14ULGXZ8459N1Z2,VER/793,2026-07-11,16310.91,2935.97,0.00,0.00,975f5129d0d1d1ef999405332fbbc7ec3580882f53e832af04231ebe61f1c667,2026-07-11,2026-07,Y,Yes
37MGUXU4154B1Z9,TOL/893,2026-07-21,25154.26,4527.77,0.00,0.00,b6c1f174ec05ed112d2ba7a8c0bb17e63cbd5fcc00a55e117d81ac2d20f76a93,2026-07-23,2026-07,Y,Yes
01PJDXJ5069X1ZP,NIM/648,2026-07-27,27310.34,4915.87,0.00,0.00,9430ee739340890878d80aa2e5e312222cb8539ef76e2c10a02a5cec19e4c5b5,2026-07-28,2026-07,Y,Yes
16JKBXR9632F1ZC,VER/882,2026-07-30,14856.15,2674.11,0.00,0.00,c2d11a2e0bcead86319e0d60b52181c1454aaf84c4f25faca89ccca5c30a15d0,2026-08-01,2026-07,Y,Yes
35MDBXG4524O1ZR,VER/347,2026-08-05,31243.70,5623.87,0.00,0.00,f82d1f8ef7075b46aa580565ca1131109f3d456df13e91428c588c5ecaafe79b,2026-08-06,2026-08,Y,Yes
21CJHXO4794X1ZL,CLO/589,2026-08-07,10051.47,1809.27,0.00,0.00,91626089b8d737cdd66f46f84d44688f610bb5e30ec2d5411eda90a85c01eba3,2026-08-07,2026-08,Y,Yes
19VTWXU3131S1ZF,ARC/166,2026-08-11,5904.44,1062.80,0.00,0.00,490702a75681d4b1dc1fbc9921e29c3c171cf43896cca519e5a702bfe9106522,2026-08-13,2026-08,Y,Yes
10WLUXK9633I1ZP,TOL/947,2026-08-11,9655.61,1738.01,0.00,0.00,44e208163fd4e5b7e3eecf29273b3d736fe784f866bd7a20eee513715f4d2a8c,2026-08-13,2026-08,Y,Yes
25OYAXY1141O1ZB,ARC/227,2026-08-12,28173.34,5071.21,0.00,0.00,905f400411408a25edb1a7145e7ef3c1e7e529c4cecb8fe598658a99d2a11ebd,2026-08-14,2026-08,Y,Yes
02BUWXF7206O1ZR,CLO/280,2026-08-23,2824.99,508.50,0.00,0.00,b5a2441840a76a2ae61bf9d04fc565b577cedcf29003426805eb3a400d458fa9,2026-08-25,2026-08,Y,Yes
08LKUXM9188N1Z1,VER/415,2026-08-27,11657.67,2098.39,0.00,0.00,2ddbe79f3bf87c7bc37162d93468cf28d262ae35295a7efeedc0811702631679,2026-08-28,2026-08,Y,Yes
29FHBXN9205D1ZV,RZP/BLR/26-27/7002,2026-09-01,6149.34,0.00,553.45,553.45,,,2026-08,Y,No
